X0,Y0,X1,Y1,X2,Y2
18.602,0.85591,18.6015,3.60561,18.6015,1.26418
18.670,0.75535,18.6704,3.38536,18.6704,1.42829
18.739,0.33538,18.7393,2.47675,18.7393,1.57410
18.808,0.34141,18.8082,2.19503,18.8082,1.10983
18.877,0.49569,18.8771,3.22440,18.8771,1.26902
18.946,0.70127,18.9460,3.42055,18.9460,0.72534
19.015,1.07219,19.0149,2.66747,19.0149,0.79091
19.084,1.20010,19.0838,2.19582,19.0838,1.11135
19.153,1.32853,19.1527,2.60910,19.1527,2.00855
19.222,1.52697,19.2216,2.71754,19.2216,1.65476
19.290,1.55894,19.2905,3.55648,19.2905,1.42756
19.359,1.55280,19.3594,3.78202,19.3594,1.65744
19.428,1.89498,19.4282,4.53111,19.4282,1.25080
19.497,2.01009,19.4971,3.01907,19.4971,0.95688
19.566,2.08244,19.5660,2.18214,19.5660,1.09036
19.635,2.30155,19.6349,1.95886,19.6349,1.27348
19.704,2.45628,19.7038,2.65059,19.7038,1.00269
19.773,1.88218,19.7727,2.78512,19.7727,0.82498
19.842,1.77117,19.8416,2.18006,19.8416,2.02018
19.911,2.11206,19.9105,1.50382,19.9105,1.31495
19.979,2.48778,19.9794,1.37632,19.9794,1.52205
20.048,1.97887,20.0483,1.33256,20.0483,0.94954
20.117,2.63912,20.1172,1.74829,20.1172,1.11696
20.186,3.37971,20.1861,1.58989,20.1861,0.84026
20.255,4.18766,20.2550,2.11924,20.2550,0.99699
20.324,3.60628,20.3239,1.42895,20.3239,0.70015
20.393,4.02429,20.3928,1.60475,20.3928,1.32627
20.462,4.50295,20.4617,1.26308,20.4617,1.87047
20.531,4.37108,20.5306,1.10041,20.5306,1.61429
20.599,3.68698,20.5995,1.74374,20.5995,2.19300
20.668,4.14731,20.6684,2.04012,20.6684,2.41049
20.737,3.68240,20.7372,2.53675,20.7372,1.83700
20.806,4.19579,20.8061,2.98317,20.8061,1.29726
20.875,3.03370,20.8750,3.00568,20.8750,1.56376
20.944,3.34724,20.9439,2.87106,20.9439,1.95094
21.013,3.69737,21.0128,2.01376,21.0128,2.30269
21.082,3.46605,21.0817,2.10907,21.0817,2.12729
21.151,3.92423,21.1506,1.45456,21.1506,2.36382
21.220,2.98676,21.2195,1.54998,21.2195,1.63657
21.288,3.45314,21.2884,1.25692,21.2884,1.98652
21.357,2.14069,21.3573,1.41044,21.3573,2.52140
21.426,2.59524,21.4262,1.87399,21.4262,2.50583
21.495,2.17493,21.4951,1.45161,21.4951,2.34699
21.564,1.44419,21.5640,1.41296,21.5640,2.01529
21.633,2.41124,21.6329,1.68782,21.6329,1.84895
21.702,2.38719,21.7018,2.05835,21.7018,1.41405
21.771,2.01075,21.7707,2.85507,21.7707,1.34853
21.840,1.77786,21.8396,3.15511,21.8396,1.64680
21.908,1.80928,21.9085,3.50521,21.9085,2.18310
21.977,2.25107,21.9773,3.64306,21.9773,2.06894
22.046,2.27375,22.0462,3.86563,22.0462,2.50549
22.115,1.77979,22.1151,3.40917,22.1151,2.56221
22.184,1.25707,22.1840,3.57190,22.1840,2.07575
22.253,1.40555,22.2529,3.78142,22.2529,2.11400
22.322,1.97961,22.3218,3.82460,22.3218,2.32315
22.391,1.67581,22.3907,4.07480,22.3907,2.03031
22.460,2.08225,22.4596,4.74336,22.4596,2.47201
22.529,1.71826,22.5285,3.95282,22.5285,2.51241
22.597,1.20652,22.5974,3.33983,22.5974,2.03208
22.666,1.00458,22.6663,2.63881,22.6663,1.25889
22.735,1.21620,22.7352,2.88429,22.7352,1.49468
22.804,0.78899,22.8041,2.61453,22.8041,2.02659
22.873,0.73170,22.8730,2.30050,22.8730,1.39540
22.942,1.31276,22.9419,3.18975,22.9419,1.25907
23.011,0.96891,23.0108,2.42118,23.0108,1.14426
23.080,1.63952,23.0797,2.52025,23.0797,1.40571
23.149,1.45873,23.1486,2.25851,23.1486,1.62756
23.217,1.35049,23.2174,1.57565,23.2174,1.62242
23.286,1.45903,23.2863,1.14872,23.2863,2.43016
23.355,2.40127,23.3552,0.76350,23.3552,2.89463
23.424,2.55071,23.4241,0.81849,23.4241,2.51965
23.493,2.53587,23.4930,0.86529,23.4930,2.38008
23.562,2.11597,23.5619,0.83273,23.5619,1.60549
23.631,1.74286,23.6308,0.83694,23.6308,1.55033
23.700,2.02299,23.6997,1.26490,23.6997,1.40185
23.769,2.32330,23.7686,1.68577,23.7686,0.98950
23.837,1.67881,23.8375,1.89889,23.8375,1.31760
23.906,1.35411,23.9064,1.95112,23.9064,1.89269
23.975,1.29325,23.9753,2.77275,23.9753,2.00507
