X0,Y0,X1,Y1,X2,Y2,X3,Y3
17.8437,0.78312,17.8437,2.38912,17.8437,3.93689,17.8437,1.65605
17.9126,1.11180,17.9126,2.36963,17.9126,2.39700,17.9126,1.70457
17.9815,0.81027,17.9815,2.67696,17.9815,2.14057,17.9815,1.49888
18.0504,0.89013,18.0504,1.99267,18.0504,1.48550,18.0504,1.02957
18.1193,0.78225,18.1193,1.51156,18.1193,1.35160,18.1193,1.19109
18.1881,0.56032,18.1881,1.55964,18.1881,1.65643,18.1881,1.22451
18.2570,0.67563,18.2570,1.76582,18.2570,1.95406,18.2570,1.66384
18.3259,0.49471,18.3259,2.07376,18.3259,2.08341,18.3259,1.77428
18.3948,0.62633,18.3948,2.54456,18.3948,1.92711,18.3948,2.34330
18.4637,0.81904,18.4637,1.84685,18.4637,1.78201,18.4637,3.99053
18.5326,0.95877,18.5326,2.04992,18.5326,2.21722,18.5326,5.04668
18.6015,1.05879,18.6015,2.38051,18.6015,2.22181,18.6015,5.87265
18.6704,1.26778,18.6704,2.88388,18.6704,1.62028,18.6704,6.79275
18.7393,0.47215,18.7393,2.76644,18.7393,2.00815,18.7393,7.56218
18.8082,0.76402,18.8082,3.81173,18.8082,2.23110,18.8082,6.36624
18.8771,0.46083,18.8771,2.19063,18.8771,2.48706,18.8771,5.01893
18.9460,0.40083,18.9460,1.85619,18.9460,1.75892,18.9460,4.88271
19.0149,0.69881,19.0149,1.06955,19.0149,0.84741,19.0149,5.20828
19.0838,0.62036,19.0838,0.92470,19.0838,0.91051,19.0838,4.84332
19.1527,0.97135,19.1527,0.88982,19.1527,0.61229,19.1527,3.81881
19.2216,1.05332,19.2216,1.20615,19.2216,0.83932,19.2216,3.38364
19.2905,1.39561,19.2905,1.79235,19.2905,0.76198,19.2905,3.25795
19.3594,2.18739,19.3594,2.04723,19.3594,1.33404,19.3594,2.66379
19.4282,3.60786,19.4282,2.70735,19.4282,1.47841,19.4282,1.99675
19.4971,3.45040,19.4971,2.88494,19.4971,1.52990,19.4971,1.76282
19.5660,3.17322,19.5660,3.28520,19.5660,0.82658,19.5660,1.72998
19.6349,2.85734,19.6349,3.25679,19.6349,0.97411,19.6349,1.64883
19.7038,3.21620,19.7038,3.78266,19.7038,0.93897,19.7038,1.44227
19.7727,2.54396,19.7727,3.31433,19.7727,1.07430,19.7727,1.22531
19.8416,2.05609,19.8416,3.62359,19.8416,1.48296,19.8416,1.78404
19.9105,2.69259,19.9105,3.03273,19.9105,1.12551,19.9105,2.01709
19.9794,2.59805,19.9794,2.51346,19.9794,1.46907,19.9794,1.62616
20.0483,2.19396,20.0483,1.98782,20.0483,1.93065,20.0483,1.97135
20.1172,3.19583,20.1172,1.61242,20.1172,1.79597,20.1172,2.02487
20.1861,2.99383,20.1861,1.48911,20.1861,1.63820,20.1861,1.81749
20.2550,2.44060,20.2550,1.96842,20.2550,1.88033,20.2550,1.87325
20.3239,1.93967,20.3239,2.13961,20.3239,1.30827,20.3239,1.68138
20.3928,1.91807,20.3928,2.34318,20.3928,1.79772,20.3928,1.63117
20.4617,1.54937,20.4617,2.79754,20.4617,1.64347,20.4617,1.69453
20.5306,1.50333,20.5306,2.94523,20.5306,1.94092,20.5306,2.18171
20.5995,1.37431,20.5995,3.05644,20.5995,1.69212,20.5995,2.57806
20.6684,2.27047,20.6684,3.08105,20.6684,0.96762,20.6684,2.58407
20.7372,2.80767,20.7372,2.88597,20.7372,1.17846,20.7372,1.76049
20.8061,3.17057,20.8061,2.28534,20.8061,0.87007,20.8061,1.80980
20.8750,3.24691,20.8750,2.27605,20.8750,0.72037,20.8750,2.18888
20.9439,4.37554,20.9439,2.25737,20.9439,0.41828,20.9439,2.42965
21.0128,5.60478,21.0128,2.64774,21.0128,0.62984,21.0128,2.60211
21.0817,7.58943,21.0817,2.18992,21.0817,0.70573,21.0817,2.47307
21.1506,7.71300,21.1506,2.95607,21.1506,0.87875,21.1506,3.22343
21.2195,8.00619,21.2195,2.99546,21.2195,0.65341,21.2195,2.13925
21.2884,7.47655,21.2884,3.46664,21.2884,1.16568,21.2884,2.39580
21.3573,5.43268,21.3573,3.82062,21.3573,0.62984,21.3573,1.92284
21.4262,4.81213,21.4262,4.02869,21.4262,0.72630,21.4262,2.39291
21.4951,3.93217,21.4951,3.29252,21.4951,0.92250,21.4951,2.11520
21.5640,3.00168,21.5640,4.41270,21.5640,1.35127,21.5640,1.81606
21.6329,2.93665,21.6329,4.69206,21.6329,1.26237,21.6329,1.91055
21.7018,1.84732,21.7018,4.74769,21.7018,0.89615,21.7018,2.33668
21.7707,1.43274,21.7707,5.72338,21.7707,0.63253,21.7707,2.37396
21.8396,1.48725,21.8396,5.75518,21.8396,1.15893,21.8396,2.44375
21.9085,1.23893,21.9085,3.56108,21.9085,0.82524,21.9085,1.44604
21.9773,1.59681,21.9773,2.19762,21.9773,0.94036,21.9773,1.56518
22.0462,2.10450,22.0462,2.03712,22.0462,0.79176,22.0462,1.82037
22.1151,1.47167,22.1151,2.03366,22.1151,1.05540,22.1151,1.76335
22.1840,1.79832,22.1840,1.85394,22.1840,1.27134,22.1840,1.46671
22.2529,1.97633,22.2529,1.52790,22.2529,1.01381,22.2529,0.88120
22.3218,1.76820,22.3218,2.10348,22.3218,1.31759,22.3218,0.55853
22.3907,1.59847,22.3907,2.36114,22.3907,1.66799,22.3907,0.48607
22.4596,1.51222,22.4596,1.96698,22.4596,1.46392,22.4596,0.55520
22.5285,1.23278,22.5285,1.62042,22.5285,1.95530,22.5285,0.83803
22.5974,0.65019,22.5974,1.66490,22.5974,3.43885,22.5974,0.75437
22.6663,0.51451,22.6663,1.89001,22.6663,2.68034,22.6663,1.40303
22.7352,0.90802,22.7352,1.72143,22.7352,2.95895,22.7352,1.32658
22.8041,0.82229,22.8041,1.29584,22.8041,3.45230,22.8041,1.66782
22.8730,0.94765,22.8730,1.52504,22.8730,2.77706,22.8730,1.84903
22.9419,1.74814,22.9419,1.18424,22.9419,2.53662,22.9419,1.72403
23.0108,1.43397,23.0108,1.08124,23.0108,2.06188,23.0108,1.78248
23.0797,1.50492,23.0797,1.07071,23.0797,2.25044,23.0797,2.03392
23.1486,1.49761,23.1486,1.31181,23.1486,1.63994,23.1486,1.80594
23.2174,1.10296,23.2174,1.52595,23.2174,1.53027,23.2174,1.53087
23.2863,0.67735,23.2863,1.21575,23.2863,1.36391,23.2863,1.67293
23.3552,0.99339,23.3552,2.09023,23.3552,1.18097,23.3552,1.70193
23.4241,0.98904,23.4241,2.07921,23.4241,1.28960,23.4241,2.01969
23.4930,1.27588,23.4930,2.70584,23.4930,1.18179,23.4930,1.64787
23.5619,1.47353,23.5619,3.44554,23.5619,1.98939,23.5619,1.32714
