X0,Y0,X1,Y1,X2,Y2
15.363,7.0663,15.3635,3.9566,15.3635,5.2275
15.432,7.1230,15.4324,4.4666,15.4324,5.8053
15.501,7.8801,15.5013,4.6479,15.5013,7.2588
15.570,11.8150,15.5702,3.6384,15.5702,7.4097
15.639,16.5083,15.6391,6.6477,15.6391,9.2960
15.708,22.9586,15.7079,6.1445,15.7079,12.2102
15.777,23.1365,15.7768,7.3234,15.7768,10.7722
15.846,20.6287,15.8457,9.4738,15.8457,6.8938
15.915,14.8467,15.9146,6.6944,15.9146,6.1067
15.984,10.2065,15.9835,5.9818,15.9835,4.6759
16.052,7.8658,16.0524,5.0944,16.0524,4.5649
16.121,6.5372,16.1213,5.5178,16.1213,7.0760
16.190,5.0146,16.1902,5.8278,16.1902,11.5437
16.259,3.4775,16.2591,5.9811,16.2591,11.7426
16.328,2.8841,16.3280,6.3858,16.3280,12.4966
16.397,2.2613,16.3969,7.1583,16.3969,11.3703
16.466,2.3458,16.4658,8.5627,16.4658,10.9888
16.535,2.0377,16.5347,7.7240,16.5347,13.9826
16.604,2.1936,16.6036,6.8002,16.6036,17.9661
16.672,2.8017,16.6725,8.6280,16.6725,21.0635
16.741,5.2158,16.7414,9.7105,16.7414,23.4016
16.810,4.9210,16.8103,12.8358,16.8103,21.3376
16.879,3.8464,16.8792,18.9705,16.8792,17.2845
16.948,2.8883,16.9480,23.0905,16.9480,12.6593
17.017,2.6704,17.0169,25.4299,17.0169,15.1802
17.086,2.3284,17.0858,21.4060,17.0858,12.4431
17.155,4.2352,17.1547,16.8467,17.1547,10.4431
17.224,3.7381,17.2236,11.1557,17.2236,9.0210
17.293,4.6671,17.2925,9.5610,17.2925,9.5840
17.361,4.6890,17.3614,12.6196,17.3614,10.9624
17.430,5.7320,17.4303,13.8848,17.4303,11.3537
17.499,4.9660,17.4992,14.3644,17.4992,15.7241
17.568,5.0296,17.5681,9.7298,17.5681,16.0807
17.637,4.1490,17.6370,6.8329,17.6370,15.4249
17.706,2.9363,17.7059,8.4714,17.7059,14.0811
17.775,1.2731,17.7748,9.3873,17.7748,14.4056
17.844,1.6302,17.8437,8.3131,17.8437,11.7717
17.913,0.6374,17.9126,7.5010,17.9126,9.5681
17.981,1.8279,17.9815,9.1806,17.9815,7.9723
18.050,1.7637,18.0504,10.3871,18.0504,7.8061
18.119,1.1694,18.1193,12.9719,18.1193,7.3144
18.188,2.0823,18.1881,11.7611,18.1881,6.6070
