Distance_(microns),Value,X1,Y1,X2,Y2
29.7624,3.0893,29.7624,4.4793,29.7624,1.7955
29.8313,2.5557,29.8313,4.2860,29.8313,1.0419
29.9002,2.2479,29.9002,2.5042,29.9002,1.8242
29.9691,1.9827,29.9691,2.6442,29.9691,2.4171
30.0380,2.4660,30.0380,3.6484,30.0380,2.8327
30.1069,2.5560,30.1069,2.4349,30.1069,3.6590
30.1758,2.2149,30.1758,2.1061,30.1758,3.9213
30.2447,2.0226,30.2447,2.0264,30.2447,3.3902
30.3136,1.8652,30.3136,3.0112,30.3136,2.7391
30.3825,1.5961,30.3825,1.9857,30.3825,2.3466
30.4514,1.4613,30.4514,1.5185,30.4514,1.9659
30.5203,1.5909,30.5203,1.7010,30.5203,1.6399
30.5892,1.5109,30.5892,1.4660,30.5892,2.7091
30.6581,1.8481,30.6581,1.8867,30.6581,2.8526
30.7269,1.0536,30.7269,2.6285,30.7269,3.5962
30.7958,1.1093,30.7958,2.7701,30.7958,4.2112
30.8647,0.9518,30.8647,3.5684,30.8647,4.2228
30.9336,1.0642,30.9336,3.4862,30.9336,2.7850
31.0025,1.4725,31.0025,3.6773,31.0025,2.1794
31.0714,2.2755,31.0714,2.7014,31.0714,1.8612
31.1403,2.3211,31.1403,2.6451,31.1403,2.0173
31.2092,2.6912,31.2092,2.2303,31.2092,2.4928
31.2781,2.3316,31.2781,2.2919,31.2781,2.0302
31.3470,2.0561,31.3470,2.4030,31.3470,2.1687
31.4159,1.8993,31.4159,2.9940,31.4159,2.1954
31.4848,1.7100,31.4848,2.3536,31.4848,2.5861
31.5537,1.9796,31.5537,2.4002,31.5537,1.7222
31.6226,2.1442,31.6226,2.1033,31.6226,1.2134
31.6915,2.2143,31.6915,2.5256,31.6915,1.4287
31.7604,3.7880,31.7604,3.2423,31.7604,1.8536
31.8293,3.5777,31.8293,3.0702,31.8293,1.5703
