Distance_(microns),Value,X1,Y1,X2,Y2
14.1234,11.2176,14.1234,12.1545,14.1234,6.0039
14.1923,12.8257,14.1923,16.0393,14.1923,10.0558
14.2612,13.8460,14.2612,14.6833,14.2612,11.8966
14.3301,14.2328,14.3301,14.6631,14.3301,12.0221
14.3989,10.7342,14.3989,15.6284,14.3989,12.2722
14.4678,9.7931,14.4678,14.6850,14.4678,13.0190
14.5367,12.4976,14.5367,18.2450,14.5367,14.1776
14.6056,14.1966,14.6056,18.5743,14.6056,14.7045
14.6745,13.9003,14.6745,17.0457,14.6745,13.4853
14.7434,13.0293,14.7434,16.5696,14.7434,12.4457
14.8123,12.6597,14.8123,15.1196,14.8123,15.3469
14.8812,9.6701,14.8812,16.5194,14.8812,14.2831
14.9501,11.0892,14.9501,17.5634,14.9501,13.7158
15.0190,13.0315,15.0190,16.6774,15.0190,14.1713
15.0879,10.0219,15.0879,18.0525,15.0879,12.6496
15.1568,10.5507,15.1568,19.1527,15.1568,16.8549
15.2257,5.7556,15.2257,20.0681,15.2257,16.1181
15.2946,4.9403,15.2946,20.6378,15.2946,15.5036
15.3635,4.4198,15.3635,21.0199,15.3635,15.1008
15.4324,4.8104,15.4324,21.9483,15.4324,12.6127
15.5013,4.8478,15.5013,22.0021,15.5013,10.7731
15.5702,5.5356,15.5702,21.6354,15.5702,12.1386
15.6391,6.2703,15.6391,22.1949,15.6391,12.6226
15.7079,6.9871,15.7079,22.3683,15.7079,13.0297
15.7768,7.0084,15.7768,20.3801,15.7768,12.9948
15.8457,4.4554,15.8457,19.5375,15.8457,10.5289
15.9146,6.5123,15.9146,17.9703,15.9146,8.6501
15.9835,7.5819,15.9835,19.3681,15.9835,8.2644
16.0524,7.0551,16.0524,21.8247,16.0524,8.2001
16.1213,8.7110,16.1213,24.0180,16.1213,9.3447
16.1902,10.1406,16.1902,29.3030,16.1902,10.6290
16.2591,11.4086,16.2591,27.3627,16.2591,11.0159
16.3280,15.0320,16.3280,26.5278,16.3280,9.9229
16.3969,17.1795,16.3969,24.2210,16.3969,9.8047
16.4658,16.4913,16.4658,19.2628,16.4658,12.0684
16.5347,16.5649,16.5347,19.5816,16.5347,18.3199
16.6036,16.1733,16.6036,15.9291,16.6036,17.8294
16.6725,16.3754,16.6725,11.4978,16.6725,15.4375
16.7414,14.2934,16.7414,10.2108,16.7414,14.5901
16.8103,12.2005,16.8103,11.7710,16.8103,15.1350
16.8792,14.0714,16.8792,10.1634,16.8792,11.9756
16.9480,17.3615,16.9480,8.3867,16.9480,12.2307
17.0169,17.4080,17.0169,9.6250,17.0169,11.9999
17.0858,18.1596,17.0858,6.8369,17.0858,13.5528
17.1547,13.5456,17.1547,7.5108,17.1547,15.6538
17.2236,12.1452,17.2236,5.8048,17.2236,15.8620
17.2925,11.0246,17.2925,7.5218,17.2925,14.6984
17.3614,9.3058,17.3614,8.6342,17.3614,13.3714
17.4303,8.5130,17.4303,9.4596,17.4303,14.5061
17.4992,9.6356,17.4992,10.2007,17.4992,15.2956
17.5681,10.1662,17.5681,11.4375,17.5681,13.6866
17.6370,9.6512,17.6370,13.0523,17.6370,13.1827
17.7059,10.3245,17.7059,15.5157,17.7059,9.2648
17.7748,10.5345,17.7748,10.7011,17.7748,11.8017
17.8437,8.4336,17.8437,11.1612,17.8437,11.1925
17.9126,6.6915,17.9126,13.6579,17.9126,9.0038
17.9815,6.6797,17.9815,14.6645,17.9815,9.1355
18.0504,6.1329,18.0504,13.0152,18.0504,10.7126
