Distance_(microns),Value,X1,Y1,X2,Y2
21.1506,6.505,21.1506,26.861,21.151,17.964
21.2195,5.884,21.2195,24.861,21.220,12.314
21.2884,7.608,21.2884,25.787,21.288,9.357
21.3573,9.376,21.3573,26.306,21.357,5.951
21.4262,11.233,21.4262,26.172,21.426,7.800
21.4951,13.487,21.4951,23.366,21.495,12.966
21.5640,12.999,21.5640,23.982,21.564,17.337
21.6329,12.818,21.6329,27.499,21.633,22.587
21.7018,15.183,21.7018,38.584,21.702,24.609
21.7707,15.429,21.7707,50.943,21.771,25.294
21.8396,20.136,21.8396,60.276,21.840,24.209
21.9084,25.288,21.9084,50.113,21.908,25.811
21.9773,30.663,21.9773,38.702,21.977,26.782
22.0462,37.905,22.0462,26.567,22.046,25.145
22.1151,37.621,22.1151,24.063,22.115,22.813
22.1840,38.532,22.1840,26.738,22.184,20.637
22.2529,40.424,22.2529,33.911,22.253,18.267
22.3218,38.290,22.3218,37.389,22.322,17.463
22.3907,44.018,22.3907,37.353,22.391,17.650
22.4596,43.928,22.4596,36.505,22.460,13.634
22.5285,41.231,22.5285,33.895,22.528,11.118
22.5974,36.957,22.5974,25.642,22.597,6.865
22.6663,34.733,22.6663,20.373,22.666,5.474
22.7352,27.514,22.7352,13.357,22.735,5.512
22.8041,21.078,22.8041,10.324,22.804,4.921
22.8730,19.508,22.8730,9.949,22.873,8.882
22.9419,21.491,22.9419,11.452,22.942,13.565
23.0108,19.762,23.0108,13.465,23.011,16.316
23.0797,15.731,23.0797,16.901,23.080,12.374
23.1486,16.565,23.1486,22.109,23.149,8.330
23.2174,14.914,23.2174,22.173,23.217,5.808
23.2863,16.372,23.2863,24.346,23.286,3.513
23.3552,16.472,23.3552,28.145,23.355,3.282
23.4241,15.871,23.4241,27.206,23.424,4.052
23.4930,15.910,23.4930,26.765,23.493,4.717
23.5619,16.396,23.5619,25.324,23.562,7.114
23.6308,19.519,23.6308,23.733,23.631,9.010
23.6997,15.486,23.6997,21.549,23.700,8.988
23.7686,10.935,23.7686,17.297,23.769,6.464
23.8375,11.549,23.8375,13.678,23.837,4.597
23.9064,10.061,23.9064,14.390,23.906,4.872
23.9753,10.747,23.9753,14.640,23.975,5.391
24.0442,9.703,24.0442,13.413,24.044,4.708
24.1131,9.598,24.1131,16.468,24.113,5.741
24.1820,10.693,24.1820,17.953,24.182,9.231
24.2509,11.877,24.2509,17.587,24.251,11.271
24.3198,16.220,24.3198,15.438,24.320,13.570
24.3887,17.106,24.3887,18.889,24.389,18.083
24.4575,12.547,24.4575,21.679,24.458,23.037
24.5264,10.340,24.5264,19.649,24.526,24.934
24.5953,9.471,24.5953,14.984,24.595,24.891
24.6642,10.388,24.6642,13.886,24.664,23.866
24.7331,9.117,24.7331,15.468,24.733,26.762
24.8020,8.319,24.8020,19.827,24.802,24.212
24.8709,10.892,24.8709,21.364,24.871,23.771
24.9398,13.679,24.9398,19.763,24.940,24.866
25.0087,19.303,25.0087,15.182,25.009,28.556
25.0776,22.255,25.0776,13.209,25.078,27.606
25.1465,25.415,25.1465,10.223,25.146,32.426
25.2154,27.925,25.2154,11.728,25.215,38.423
25.2843,25.880,25.2843,8.538,25.284,45.948
25.3532,25.025,25.3532,6.193,25.353,54.105
25.4221,23.512,25.4221,6.028,25.422,63.277
25.4910,21.355,25.4910,4.256,25.491,65.285
25.5599,22.410,25.5599,4.429,25.560,65.401
25.6288,27.397,25.6288,5.550,25.629,60.971
25.6976,29.422,25.6976,6.521,25.698,56.119
25.7665,32.463,25.7665,9.543,25.767,39.047
25.8354,40.998,25.8354,13.603,25.835,22.771
25.9043,38.837,25.9043,13.604,25.904,14.525
25.9732,25.114,25.9732,15.502,25.973,9.793
26.0421,16.643,26.0421,13.034,26.042,8.101
26.1110,15.605,26.1110,11.443,26.111,6.271
26.1799,15.137,26.1799,12.159,26.180,7.902
26.2488,14.940,26.2488,11.544,26.249,8.485
26.3177,18.000,26.3177,11.746,26.318,11.530
26.3866,19.820,26.3866,9.926,26.387,16.916
26.4555,20.251,26.4555,8.714,26.455,18.212
26.5244,22.568,26.5244,11.605,26.524,17.044
26.5933,17.525,26.5933,15.172,26.593,16.234
26.6622,16.751,26.6622,15.663,26.662,10.950
26.7311,15.156,26.7311,17.631,26.731,7.319
26.8000,12.573,26.8000,16.939,26.800,5.056
26.8689,12.993,26.8689,13.565,26.869,5.227
26.9377,15.736,26.9377,11.593,26.938,5.350
27.0066,16.126,27.0066,10.940,27.007,5.816
27.0755,20.068,27.0755,11.068,27.076,7.330
27.1444,25.830,27.1444,12.555,27.144,10.153
27.2133,23.301,27.2133,13.407,27.213,14.261
27.2822,21.049,27.2822,15.154,27.282,20.587
27.3511,17.567,27.3511,18.772,27.351,24.928
27.4200,14.500,27.4200,20.408,27.420,22.748
27.4889,12.996,27.4889,22.407,27.489,20.314
27.5578,11.829,27.5578,24.121,27.558,17.926
27.6267,18.668,27.6267,29.235,27.627,19.083
27.6956,23.998,27.6956,31.766,27.696,29.463
27.7645,28.857,27.7645,37.710,27.764,43.835
27.8334,28.150,27.8334,47.562,27.833,58.518
27.9023,19.592,27.9023,57.033,27.902,68.277
27.9712,12.260,27.9712,40.145,27.971,60.532
28.0401,7.442,28.0401,27.921,28.040,45.451
28.1090,5.537,28.1090,24.023,28.109,44.779
28.1778,6.253,28.1778,22.460,28.178,53.454
28.2467,8.130,28.2467,24.252,28.247,59.883
28.3156,8.141,28.3156,20.718,28.316,65.458
28.3845,10.017,28.3845,18.379,28.385,63.902
28.4534,8.000,28.4534,16.516,28.453,53.147
28.5223,8.052,28.5223,10.638,28.522,38.570
28.5912,10.109,28.5912,12.991,28.591,28.691
28.6601,9.926,28.6601,12.737,28.660,20.039
28.7290,10.955,28.7290,14.085,28.729,18.670
28.7979,12.347,28.7979,10.070,28.798,15.643
28.8668,16.671,28.8668,7.096,28.867,13.829
28.9357,17.993,28.9357,7.148,28.936,10.111
29.0046,18.827,29.0046,7.092,29.005,8.850
29.0735,24.316,29.0735,8.832,29.073,8.248
29.1424,24.522,29.1424,9.212,29.142,7.839
29.2113,24.473,29.2113,13.068,29.211,7.136
29.2802,28.663,29.2802,15.866,29.280,7.650
29.3491,36.256,29.3491,15.127,29.349,6.515
29.4179,45.506,29.4179,12.417,29.418,6.734
29.4868,54.097,29.4868,12.646,29.487,8.242
29.5557,51.929,29.5557,14.902,29.556,6.924
29.6246,37.493,29.6246,19.609,29.625,8.278
29.6935,20.881,29.6935,23.896,29.694,9.682
29.7624,15.155,29.7624,21.263,29.762,9.570
29.8313,10.478,29.8313,32.969,29.831,9.341
29.9002,8.035,29.9002,30.085,29.900,6.834
29.9691,5.867,29.9691,28.923,29.969,6.225
30.0380,8.145,30.0380,47.144,30.038,6.032
30.1069,7.243,30.1069,74.272,30.107,9.586
30.1758,4.812,30.1758,98.616,30.176,11.514
30.2447,2.922,30.2447,96.422,30.245,13.230
30.3136,2.457,30.3136,73.316,30.314,12.995
30.3825,3.009,30.3825,54.272,30.382,17.389
30.4514,3.083,30.4514,42.306,30.451,19.885
30.5203,3.342,30.5203,28.696,30.520,22.864
30.5892,4.905,30.5892,19.925,30.589,24.456
30.6581,4.684,30.6581,11.172,30.658,21.860
30.7269,3.304,30.7269,6.612,30.727,21.425
30.7958,4.049,30.7958,4.680,30.796,15.963
30.8647,5.746,30.8647,6.763,30.865,12.621
30.9336,6.236,30.9336,5.241,30.934,10.105
31.0025,5.845,31.0025,4.361,31.003,8.387
31.0714,8.544,31.0714,3.603,31.071,8.573
31.1403,9.787,31.1403,4.729,31.140,9.901
31.2092,8.545,31.2092,4.451,31.209,13.875
31.2781,10.939,31.2781,4.097,31.278,21.093
31.3470,11.884,31.3470,3.919,31.347,22.018
31.4159,16.001,31.4159,4.154,31.416,22.526
31.4848,19.047,31.4848,2.475,31.485,18.776
31.5537,21.118,31.5537,3.015,31.554,16.657
31.6226,15.431,31.6226,5.980,31.623,15.418
31.6915,12.752,31.6915,5.209,31.691,16.203
31.7604,13.259,31.7604,5.068,31.760,15.255
31.8293,13.048,31.8293,5.700,31.829,17.594
31.8982,13.984,31.8982,5.616,31.898,16.033
31.9670,18.071,31.9670,5.550,31.967,17.846
32.0359,21.323,32.0359,8.505,32.036,20.425
32.1048,21.976,32.1048,8.424,32.105,26.392
32.1737,20.860,32.1737,6.537,32.174,40.220
32.2426,15.989,32.2426,5.325,32.243,53.912
32.3115,12.600,32.3115,5.118,32.312,55.659
32.3804,10.098,32.3804,4.686,32.380,43.348
32.4493,9.442,32.4493,6.306,32.449,30.215
32.5182,6.679,32.5182,8.380,32.518,20.382
32.5871,6.272,32.5871,8.336,32.587,15.332
32.6560,7.698,32.6560,7.243,32.656,14.030
32.7249,8.552,32.7249,6.534,32.725,17.008
32.7938,11.201,32.7938,5.243,32.794,21.323
32.8627,11.032,32.8627,6.332,32.863,22.436
32.9316,12.616,32.9316,7.757,32.932,18.079
33.0005,14.702,33.0005,6.500,33.000,13.534
33.0694,15.439,33.0694,6.181,33.069,10.610
33.1383,17.123,33.1383,4.992,33.138,9.973
33.2071,20.295,33.2071,4.142,33.207,11.031
33.2760,24.114,33.2760,5.348,33.276,11.630
33.3449,30.444,33.3449,4.504,33.345,12.947
33.4138,36.604,33.4138,3.380,33.414,9.648
33.4827,42.927,33.4827,4.557,33.483,9.625
33.5516,43.258,33.5516,4.490,33.552,9.518
33.6205,43.700,33.6205,2.839,33.621,12.685
33.6894,35.618,33.6894,2.734,33.689,13.105
33.7583,30.595,33.7583,2.041,33.758,10.343
33.8272,24.756,33.8272,2.433,33.827,13.192
33.8961,16.451,33.8961,3.534,33.896,16.378
33.9650,14.415,33.9650,3.153,33.965,17.071
34.0339,18.768,34.0339,2.873,34.034,17.641
34.1028,22.781,34.1028,5.468,34.103,16.427
34.1717,24.906,34.1717,5.240,34.172,13.448
34.2406,25.100,34.2406,6.886,34.241,17.124
34.3095,24.580,34.3095,6.787,34.309,16.484
34.3784,17.521,34.3784,7.797,34.378,21.679
34.4472,15.424,34.4472,7.284,34.447,24.028
34.5161,19.808,34.5161,7.546,34.516,23.660
34.5850,21.247,34.5850,8.609,34.585,23.173
34.6539,24.018,34.6539,12.141,34.654,16.739
34.7228,24.321,34.7228,15.928,34.723,13.943
34.7917,23.539,34.7917,18.516,34.792,17.377
34.8606,19.123,34.8606,20.734,34.861,14.742
34.9295,11.775,34.9295,26.736,34.930,18.880
34.9984,8.090,34.9984,27.926,34.998,26.316
35.0673,8.101,35.0673,27.229,35.067,35.702
35.1362,7.961,35.1362,20.997,35.136,47.140
35.2051,13.899,35.2051,20.209,35.205,53.809
35.2740,14.260,35.2740,23.209,35.274,57.966
35.3429,16.679,35.3429,32.178,35.343,51.834
35.4118,18.038,35.4118,38.598,35.412,39.935
35.4807,16.058,35.4807,43.799,35.481,27.094
35.5496,15.676,35.5496,44.206,35.550,19.637
35.6185,11.397,35.6185,35.617,35.618,16.961
35.6873,5.956,35.6873,24.260,35.687,18.705
35.7562,5.173,35.7562,20.184,35.756,20.250
35.8251,5.719,35.8251,16.200,35.825,19.957
35.8940,8.298,35.8940,13.284,35.894,19.588
35.9629,13.742,35.9629,15.407,35.963,19.309
36.0318,16.921,36.0318,14.650,36.032,18.766
36.1007,15.805,36.1007,17.956,36.101,19.255
36.1696,12.782,36.1696,21.272,36.170,24.615
36.2385,10.231,36.2385,19.927,36.239,20.412
36.3074,7.000,36.3074,15.562,36.307,19.285
36.3763,5.699,36.3763,12.111,36.376,19.281
36.4452,4.212,36.4452,8.070,36.445,16.328
36.5141,3.684,36.5141,6.502,36.514,14.194
36.5830,4.070,36.5830,6.139,36.583,12.790
36.6519,3.469,36.6519,4.199,36.652,12.847
36.7208,4.712,36.7208,6.065,36.721,10.080
