,position (um),Fat2dICD intensity,Abi intensity
543,37.4097,12.337,2.2948
544,37.4786,13.396,1.8207
545,37.5475,14.34,2.3487
546,37.6164,16.944,1.815
547,37.6853,15.77,2.0215
548,37.7542,15.206,1.5397
549,37.8231,16.651,2.156
550,37.892,15.203,2.1126
551,37.9609,14.587,2.0219
552,38.0298,12.025,1.7442
553,38.0987,12.369,2.811
554,38.1675,10.384,3.7362
555,38.2364,9.989,4.7336
556,38.3053,9.076,4.2523
557,38.3742,8.418,3.8534
558,38.4431,8.242,3.4048
559,38.512,9.351,2.8729
560,38.5809,7.953,2.1485
561,38.6498,9.79,2.1621
562,38.7187,7.878,2.163
563,38.7876,7.973,1.7535
564,38.8565,5.985,1.8692
565,38.9254,7.79,1.7813
566,38.9943,9.79,1.7672
567,39.0632,11.147,1.7757
568,39.1321,10.618,2.3147
569,39.201,14.644,2.6626
570,39.2699,15.973,2.667
571,39.3388,19.378,2.8462
572,39.4076,26.98,3.8256
573,39.4765,35.725,4.7193
574,39.5454,45.689,4.8736
575,39.6143,60.659,5.4681
576,39.6832,71.883,7.4563
577,39.7521,86.411,8.2809
578,39.821,91.883,9.5209
579,39.8899,86.874,10.4901
580,39.9588,71.277,11.6637
581,40.0277,56.264,9.7965
582,40.0966,40.363,6.1879
583,40.1655,31.387,5.6297
584,40.2344,22.602,4.7123
585,40.3033,12.461,5.0424
586,40.3722,10.483,3.1269
587,40.4411,9.575,2.814
588,40.51,9.0,3.1007
589,40.5789,8.531,2.337
590,40.6478,9.151,1.8326
591,40.7166,8.337,1.705
592,40.7855,7.58,1.3388
593,40.8544,5.141,1.7183
594,40.9233,6.795,2.2988
595,40.9922,8.011,2.2764
596,41.0611,8.488,1.6593
597,41.13,5.32,1.9797
598,41.1989,6.387,0.92
599,41.2678,7.656,1.0872
600,41.3367,10.568,1.3703
601,41.4056,13.331,1.3709
602,41.4745,12.501,2.0313
603,41.5434,9.713,1.9122
604,41.6123,8.756,2.2585
605,41.6812,8.036,2.4552
