,position (um),Fat2 intensity,Abi intensity
372,25.6288,6.4403,1.89595
373,25.6976,6.6829,1.94061
374,25.7665,6.4675,1.98887
375,25.8354,6.476,1.77113
376,25.9043,5.9743,1.47395
377,25.9732,8.1108,1.69391
378,26.0421,5.0473,1.39455
379,26.111,5.5001,2.2555
380,26.1799,7.8342,2.31387
381,26.2488,9.3779,1.33945
382,26.3177,9.997,2.00939
383,26.3866,9.9473,2.44026
384,26.4555,11.9294,2.54193
385,26.5244,19.6105,3.80532
386,26.5933,28.3791,3.86605
387,26.6622,37.7733,4.1694
388,26.7311,52.1018,4.74313
389,26.8,65.6715,5.81837
390,26.8689,66.2193,6.007
391,26.9377,54.2776,6.46678
392,27.0066,46.0863,7.50419
393,27.0755,30.3199,7.42932
394,27.1444,18.6193,5.78886
395,27.2133,9.2305,4.35449
396,27.2822,7.6755,2.32989
397,27.3511,5.2539,1.5171
398,27.42,4.0454,1.74549
399,27.4889,3.1969,1.27524
400,27.5578,2.8526,1.64877
401,27.6267,3.554,1.51989
402,27.6956,2.5886,1.13038
403,27.7645,2.829,0.92293
404,27.8334,2.3832,0.8826
405,27.9023,3.3431,1.43124
406,27.9712,5.7972,1.0904
407,28.0401,10.2523,1.21378
408,28.109,11.0559,1.97884
409,28.1779,12.1,1.92782
410,28.2467,9.1142,2.24599
411,28.3156,7.7799,1.97665
412,28.3845,7.3191,1.85613
413,28.4534,5.3684,1.84212
414,28.5223,4.2125,1.90577
415,28.5912,3.0897,2.04196
416,28.6601,2.1451,1.76241
417,28.729,2.2344,2.3322
418,28.7979,1.135,2.3096
419,28.8668,2.026,2.37986
420,28.9357,3.5623,1.55556
421,29.0046,4.496,1.58896
422,29.0735,6.764,1.89862
423,29.1424,11.8744,2.23163
424,29.2113,14.3177,2.55673
425,29.2802,13.0298,2.08861
426,29.3491,11.7325,2.26393
427,29.418,12.9008,1.84105
428,29.4868,8.5286,1.13729
429,29.5557,4.567,1.30811
430,29.6246,6.4118,0.99073
431,29.6935,6.8576,1.22199
432,29.7624,5.7824,1.27105
433,29.8313,4.3955,1.61704
434,29.9002,3.5823,1.48154
435,29.9691,4.0811,1.35065
436,30.038,5.159,1.61843
437,30.1069,7.3595,1.91307
438,30.1758,11.3845,3.55956
439,30.2447,12.7402,2.55776
440,30.3136,12.8123,2.80559
441,30.3825,12.4793,2.71549
442,30.4514,10.0201,1.78204
