X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
10.1275,2.22561,10.1275,2.32519,10.1275,1.35582,10.1275,1.71951,10.1275,1.56715,,,10.1275,2.01750
10.1964,2.03010,10.1964,1.55125,10.1964,1.74104,10.1964,2.11719,10.1964,1.38057,,,10.1964,1.68765
10.2653,1.51999,10.2653,1.69271,10.2653,1.78682,10.2653,2.25499,10.2653,1.45647,,,10.2653,1.42653
10.3342,1.61207,10.3342,1.74125,10.3342,2.99899,10.3342,2.67366,10.3342,1.79368,,,10.3342,2.08440
10.4031,1.99909,10.4031,1.76756,10.4031,3.58350,10.4031,2.62384,10.4031,2.18779,,,10.4031,1.88931
10.4720,1.48936,10.4720,1.71524,10.4720,4.12848,10.4720,2.13626,10.4720,1.96059,,,10.4720,1.70857
10.5409,1.19859,10.5409,1.82129,10.5409,3.11494,10.5409,2.99347,10.5409,1.45996,,,10.5409,2.08021
10.6098,1.38273,10.6098,2.35550,10.6098,2.84683,10.6098,3.80128,10.6098,1.38693,,,10.6098,1.66443
10.6786,1.65926,10.6786,1.93389,10.6786,2.58258,10.6786,2.71721,10.6786,2.16556,,,10.6786,1.66803
10.7475,1.32130,10.7475,1.65152,10.7475,2.56414,10.7475,3.21987,10.7475,1.76301,,,10.7475,1.34698
10.8164,2.05177,10.8164,1.08952,10.8164,2.26503,10.8164,3.43144,10.8164,3.33426,,,10.8164,0.88091
10.8853,1.88403,10.8853,1.49307,10.8853,2.30951,10.8853,4.29007,10.8853,2.95504,,,10.8853,1.18376
10.9542,1.61967,10.9542,2.14804,10.9542,1.92987,10.9542,4.44595,10.9542,2.08525,,,10.9542,0.89990
11.0231,1.31227,11.0231,1.70476,11.0231,1.69994,11.0231,4.51176,11.0231,1.95832,,,11.0231,1.13974
11.0920,1.30681,11.0920,1.65042,11.0920,1.85987,11.0920,3.68415,11.0920,2.14045,,,11.0920,1.36038
11.1609,1.75045,11.1609,1.73918,11.1609,1.93721,11.1609,3.82426,11.1609,1.69307,,,11.1609,1.21171
11.2298,1.50247,11.2298,2.40007,11.2298,1.95294,11.2298,3.92543,11.2298,0.95366,,,11.2298,1.48748
11.2987,1.29953,11.2987,2.62497,11.2987,1.51422,11.2987,4.70444,11.2987,0.96113,,,11.2987,1.72225
11.3676,1.71431,11.3676,3.03648,11.3676,1.81508,11.3676,5.27588,11.3676,1.42506,,,11.3676,1.69821
11.4365,1.39572,11.4365,3.03462,11.4365,2.00402,11.4365,3.64982,11.4365,1.11449,,,11.4365,2.11652
11.5054,1.38839,11.5054,2.71186,11.5054,1.65773,11.5054,3.66785,11.5054,0.93529,,,11.5054,1.93029
11.5743,1.53277,11.5743,2.00369,11.5743,1.91672,11.5743,2.95245,11.5743,1.42774,,,11.5743,1.53327
11.6432,1.92614,11.6432,2.69767,11.6432,2.00094,11.6432,3.37410,11.6432,1.16233,,,11.6432,2.40333
11.7121,3.18686,11.7121,2.48355,11.7121,1.90831,11.7121,3.89089,11.7121,1.52274,,,11.7121,2.34746
11.7810,4.42319,11.7810,2.05087,11.7810,1.60109,11.7810,4.03267,11.7810,1.95149,,,11.7810,2.23438
11.8499,5.46228,11.8499,2.05418,11.8499,1.35342,11.8499,4.34181,11.8499,1.80010,,,11.8499,1.73316
11.9187,6.27897,11.9187,2.53969,11.9187,1.75955,11.9187,2.70756,11.9187,1.98578,,,11.9187,2.25427
11.9876,5.91516,11.9876,2.07382,11.9876,1.47712,11.9876,2.62957,11.9876,1.61200,,,11.9876,1.96109
12.0565,6.18698,12.0565,2.34775,12.0565,0.94454,12.0565,2.48735,12.0565,2.13406,,,12.0565,2.53409
12.1254,5.22013,12.1254,1.88722,12.1254,1.14530,12.1254,1.87350,12.1254,2.51178,,,12.1254,2.88082
12.1943,5.12331,12.1943,2.52700,12.1943,1.29342,12.1943,1.88557,12.1943,2.26081,,,12.1943,2.58677
12.2632,3.96914,12.2632,2.82260,12.2632,0.91222,12.2632,2.18499,12.2632,2.11704,,,12.2632,2.41408
12.3321,2.91921,12.3321,3.33641,12.3321,0.90047,12.3321,2.48043,12.3321,1.51842,,,12.3321,2.66229
12.4010,2.35227,12.4010,4.10668,12.4010,1.66509,12.4010,2.78682,12.4010,1.37452,,,12.4010,1.71419
12.4699,2.45954,12.4699,5.13863,12.4699,2.08676,12.4699,1.94268,12.4699,1.50859,,,12.4699,1.84858
12.5388,2.68669,12.5388,5.27604,12.5388,1.80980,12.5388,2.71927,12.5388,1.49019,,,12.5388,1.73868
12.6077,2.74073,12.6077,5.63546,12.6077,1.89023,12.6077,2.53047,12.6077,1.58347,,,12.6077,2.07906
12.6766,2.28178,12.6766,5.51464,12.6766,2.24212,12.6766,2.28793,12.6766,2.38019,,,12.6766,2.03239
12.7455,1.34167,12.7455,5.25291,12.7455,2.32746,12.7455,1.56093,12.7455,2.17354,,,12.7455,2.13280
12.8144,1.37502,12.8144,4.57698,12.8144,2.19934,12.8144,1.35686,12.8144,2.00464,,,12.8144,1.76891
12.8833,1.42668,12.8833,3.91625,12.8833,2.08929,12.8833,1.54902,12.8833,1.87677,,,12.8833,2.33250
12.9522,1.46059,12.9522,3.30517,12.9522,2.35613,12.9522,1.70679,12.9522,1.94097,,,12.9522,2.21677
13.0211,1.80100,13.0211,3.26955,13.0211,2.65905,13.0211,2.07079,13.0211,2.14959,,,13.0211,1.74774
13.0900,1.91006,13.0900,2.83912,13.0900,2.88366,13.0900,1.73286,13.0900,3.07509,,,13.0900,2.53281
13.1588,2.51656,13.1588,2.40480,13.1588,3.16683,13.1588,2.33556,13.1588,4.24214,,,13.1588,2.58262
13.2277,2.22369,13.2277,2.56961,13.2277,3.24651,13.2277,3.09727,13.2277,4.91276,,,13.2277,2.19979
13.2966,2.11609,13.2966,2.11917,13.2966,3.50740,13.2966,3.74077,13.2966,5.61395,,,13.2966,1.53581
13.3655,1.36897,13.3655,1.65843,13.3655,2.99980,13.3655,5.28363,13.3655,5.07328,,,13.3655,1.78330
13.4344,1.42862,13.4344,1.13400,13.4344,3.40083,13.4344,5.52753,13.4344,4.55195,,,13.4344,2.41825
13.5033,1.45586,13.5033,1.26446,13.5033,3.48686,13.5033,5.75392,13.5033,4.06533,,,13.5033,1.90486
13.5722,1.47585,13.5722,1.63386,13.5722,3.57423,13.5722,4.48872,13.5722,2.52685,,,13.5722,1.57309
13.6411,1.02589,13.6411,1.14843,13.6411,3.26293,13.6411,3.83482,13.6411,2.36041,,,13.6411,1.72425
13.7100,1.07379,13.7100,0.90631,,,,,13.7100,1.51797,,,13.7100,1.38994
13.7789,1.48219,13.7789,1.09526,,,,,13.7789,1.53022,,,13.7789,1.29207
13.8478,1.36193,13.8478,1.72582,,,,,13.8478,1.61504,,,13.8478,2.05177
13.9167,1.49727,13.9167,1.80707,,,,,13.9167,1.81660,,,13.9167,1.98011
13.9856,2.06732,13.9856,2.41040,,,,,13.9856,2.21006,,,13.9856,2.08178
14.0545,1.81094,14.0545,2.55906,,,,,14.0545,1.97387,,,14.0545,1.79753
14.1234,2.51448,14.1234,2.64642,,,,,14.1234,3.04712,,,14.1234,1.14390
14.1923,2.90117,14.1923,1.91436,,,,,14.1923,2.72095,,,14.1923,1.85253
14.2612,3.04386,14.2612,2.21899,,,,,14.2612,2.76057,,,14.2612,1.55340
14.3301,3.71933,14.3301,2.69333,,,,,14.3301,3.16312,,,14.3301,1.97546
14.3990,3.23529,14.3990,2.13219,,,,,14.3990,3.26387,,,14.3990,2.00985
14.4678,3.60994,14.4678,1.58806,,,,,14.4678,2.74373,,,14.4678,1.37537
14.5367,3.05619,14.5367,1.55009,,,,,14.5367,2.49906,,,14.5367,1.40643
14.6056,2.52894,14.6056,1.39956,,,,,14.6056,2.53114,,,14.6056,2.74997
