X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
7.2339,0.81907,7.2339,1.57213,7.2339,1.81124,7.2339,0.67886,,,,,7.2339,1.09805,7.2339,2.35199,7.2339,0.74095
7.3028,1.04709,7.3028,1.56033,7.3028,1.55427,7.3028,1.02911,,,,,7.3028,1.43247,7.3028,2.34225,7.3028,1.02712
7.3717,1.28961,7.3717,1.45388,7.3717,1.85137,7.3717,1.79683,,,,,7.3717,1.72087,7.3717,1.52412,7.3717,0.71371
7.4406,0.84753,7.4406,1.29032,7.4406,2.10517,7.4406,1.60080,,,,,7.4406,1.46565,7.4406,1.24835,7.4406,0.69281
7.5095,1.14273,7.5095,2.47279,7.5095,1.62377,7.5095,1.45581,,,,,7.5095,1.17212,7.5095,1.36098,7.5095,0.55225
7.5784,2.31698,7.5784,2.37250,7.5784,2.10398,7.5784,1.68145,,,,,7.5784,1.14410,7.5784,1.89357,7.5784,0.29931
7.6473,2.78337,7.6473,2.43218,7.6473,1.51285,7.6473,1.67309,,,,,7.6473,1.25530,7.6473,1.92575,7.6473,0.63321
7.7162,3.03853,7.7162,2.45492,7.7162,1.29579,7.7162,1.05932,,,,,7.7162,0.99533,7.7162,1.54797,7.7162,0.74666
7.7851,1.95079,7.7851,2.14269,7.7851,1.23508,7.7851,0.77195,,,,,7.7851,1.36254,7.7851,1.65170,7.7851,0.95531
7.8540,2.24549,7.8540,1.94181,7.8540,1.40759,7.8540,0.82005,,,,,7.8540,1.56185,7.8540,2.25379,7.8540,1.06389
7.9229,2.50420,7.9229,1.01689,7.9229,1.25637,7.9229,1.04755,,,,,7.9229,1.71890,7.9229,2.23008,7.9229,0.78585
7.9918,2.22654,7.9918,0.85761,7.9918,1.55711,7.9918,0.68427,,,,,7.9918,1.47437,7.9918,2.33742,7.9918,0.83858
8.0607,1.47931,8.0607,1.00530,8.0607,1.85303,8.0607,0.79490,,,,,8.0607,1.14779,8.0607,1.57051,8.0607,0.89728
8.1296,1.45742,8.1296,1.23434,8.1296,2.17128,8.1296,1.19632,,,,,8.1296,1.20754,8.1296,1.23186,8.1296,1.87874
8.1984,1.65625,8.1984,1.07168,8.1984,2.34836,8.1984,1.68912,,,,,8.1984,0.58125,8.1984,1.52381,8.1984,1.76626
8.2673,1.95984,8.2673,1.67864,8.2673,3.22894,8.2673,1.60276,,,,,8.2673,0.71773,8.2673,1.56648,8.2673,2.85233
8.3362,2.21248,8.3362,1.68596,8.3362,3.21532,8.3362,2.45100,,,,,8.3362,0.83567,8.3362,0.99079,8.3362,2.43670
8.4051,1.45765,8.4051,1.90141,8.4051,2.54323,8.4051,2.56341,,,,,8.4051,0.77457,8.4051,1.16234,8.4051,1.75538
8.4740,1.66514,8.4740,1.64529,8.4740,2.76526,8.4740,2.03760,,,,,8.4740,0.48825,8.4740,1.46121,8.4740,1.94766
8.5429,2.21009,8.5429,1.64444,8.5429,2.81150,8.5429,2.23868,,,,,8.5429,0.78817,8.5429,1.44046,8.5429,2.28163
8.6118,3.08039,8.6118,0.97148,8.6118,1.69260,8.6118,2.06004,,,,,8.6118,1.11918,8.6118,1.51793,8.6118,1.37564
8.6807,2.73896,8.6807,0.44597,8.6807,1.83401,8.6807,1.27821,,,,,8.6807,1.04311,8.6807,1.48253,8.6807,2.01890
8.7496,3.34245,8.7496,0.80266,8.7496,1.89209,8.7496,1.21105,,,,,8.7496,1.34676,8.7496,1.52365,8.7496,1.26555
8.8185,2.93274,8.8185,0.63200,8.8185,2.08097,8.8185,1.79335,,,,,8.8185,1.25982,8.8185,1.61210,8.8185,1.49437
8.8874,3.22848,8.8874,0.89301,8.8874,1.63965,8.8874,1.92976,,,,,8.8874,1.43196,8.8874,1.13110,8.8874,1.16395
