X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6
5.3049,5.2639,5.3049,4.6881,5.3049,10.1048,5.3049,9.5647,5.3049,3.7592,5.3049,5.6168,5.30488,9.0803
5.3738,5.7636,5.3738,6.8944,5.3738,10.9061,5.3738,17.8274,5.3738,4.2127,5.3738,5.8633,5.37377,4.9811
5.4427,4.3684,5.4427,9.7852,5.4427,7.3887,5.4427,24.2629,5.4427,4.0824,5.4427,5.2784,5.44267,5.7369
5.5116,5.5943,5.5116,10.0805,5.5116,6.1176,5.5116,26.0539,5.5116,4.1390,5.5116,8.8889,5.51156,6.6788
5.5805,7.6872,5.5805,7.3825,5.5805,5.6527,5.5805,23.1418,5.5805,4.7292,5.5805,12.7029,5.58045,8.2948
5.6493,9.7538,5.6493,5.6947,5.6493,6.3420,5.6493,18.7294,5.6493,5.8652,5.6493,17.1608,5.64935,12.6825
5.7182,11.5577,5.7182,2.3572,5.7182,8.5650,5.7182,15.3482,5.7182,5.8666,5.7182,20.9762,5.71824,13.7305
5.7871,12.3517,5.7871,2.6485,5.7871,7.9918,5.7871,10.3450,5.7871,4.4530,5.7871,21.5041,5.78714,12.9172
5.8560,12.3549,5.8560,3.0397,5.8560,7.9903,5.8560,6.8104,5.8560,3.7961,5.8560,20.0626,5.85603,9.7536
5.9249,10.6176,5.9249,2.6821,5.9249,7.1267,5.9249,6.6822,5.9249,5.3518,5.9249,19.3030,5.92493,8.0334
5.9938,8.3326,5.9938,5.4143,5.9938,9.9971,5.9938,5.4212,5.9938,4.7301,5.9938,13.8479,5.99382,7.2161
6.0627,6.3670,6.0627,7.2427,6.0627,15.4416,6.0627,10.2926,6.0627,8.8443,6.0627,9.6493,6.06272,3.9464
6.1316,5.2970,6.1316,8.0214,6.1316,19.8833,6.1316,16.2034,6.1316,11.1841,6.1316,6.3339,6.13161,2.6459
6.2005,7.9551,6.2005,8.4952,6.2005,23.4365,6.2005,17.2447,6.2005,10.3393,6.2005,7.7975,6.20050,1.7321
6.2694,11.2098,6.2694,5.3927,6.2694,22.1240,6.2694,15.2910,6.2694,6.2730,6.2694,7.7315,6.26940,1.2979
6.3383,14.1030,6.3383,3.7170,6.3383,21.2737,6.3383,13.4026,6.3383,4.8254,6.3383,8.1179,6.33829,2.4288
6.4072,14.4788,6.4072,2.6175,6.4072,17.1027,6.4072,16.4405,6.4072,1.7425,6.4072,6.7504,6.40719,3.7900
6.4761,10.0697,6.4761,2.4691,6.4761,11.3354,6.4761,23.6355,6.4761,2.6543,6.4761,8.8009,6.47608,4.0887
6.5450,5.6266,6.5450,2.9642,6.5450,7.6004,6.5450,21.1352,6.5450,5.4535,6.5450,13.5533,6.54498,8.3121
6.6139,5.4464,6.6139,1.8361,6.6139,5.2315,6.6139,12.8036,6.6139,8.8921,6.6139,16.6991,6.61387,13.0887
6.6828,3.0310,6.6828,0.9405,6.6828,3.6811,6.6828,6.4192,6.6828,9.5645,6.6828,16.2399,6.68277,20.2502
6.7517,1.8820,6.7517,1.6449,6.7517,6.6811,6.7517,6.9399,6.7517,6.1823,6.7517,11.8405,6.75166,19.8576
6.8206,2.5525,6.8206,1.3087,6.8206,4.5734,6.8206,4.1481,6.8206,5.0261,6.8206,10.8051,6.82056,14.3134
6.8895,2.8019,6.8895,2.8014,6.8895,4.5455,6.8895,3.3238,6.8895,4.9350,6.8895,7.1186,6.88945,12.4036
6.9583,1.9293,6.9583,7.6817,6.9583,2.7010,6.9583,4.5989,6.9583,6.1640,6.9583,4.6346,6.95834,6.9345
7.0272,2.4862,7.0272,9.7104,7.0272,1.3782,7.0272,4.0372,7.0272,11.3439,7.0272,8.4318,7.02724,8.0438
7.0961,3.5573,7.0961,8.6470,7.0961,2.3157,7.0961,2.9494,7.0961,24.4392,7.0961,10.0813,7.09613,8.3723
7.1650,4.0633,7.1650,5.1142,7.1650,2.0195,7.1650,1.5017,7.1650,47.3675,7.1650,12.3841,7.16503,10.2423
7.2339,5.4151,7.2339,6.7054,7.2339,3.1575,7.2339,1.0038,7.2339,70.2012,7.2339,18.7260,7.23392,13.7955
7.3028,6.6073,7.3028,19.0350,7.3028,2.8421,7.3028,1.0298,7.3028,58.9104,7.3028,31.8882,7.30282,18.7915
7.3717,7.9197,7.3717,38.3971,7.3717,2.7353,7.3717,1.5446,7.3717,29.8288,7.3717,30.3406,7.37171,17.6308
7.4406,9.0545,7.4406,53.0727,7.4406,3.3358,7.4406,1.5936,7.4406,10.9130,7.4406,19.7802,7.44061,20.8694
7.5095,6.0406,7.5095,40.5097,7.5095,3.2286,7.5095,0.6519,7.5095,6.3077,7.5095,7.4522,7.50950,17.1273
7.5784,5.8373,7.5784,19.2248,7.5784,5.5086,7.5784,0.9891,7.5784,4.2323,7.5784,5.9746,7.57839,11.8694
7.6473,6.7971,7.6473,7.8720,7.6473,7.2869,7.6473,1.5640,7.6473,3.2589,7.6473,4.1621,7.64729,13.8481
7.7162,10.3553,7.7162,4.6085,7.7162,8.2708,7.7162,1.5668,7.7162,1.6733,7.7162,2.1472,,
7.7851,14.0414,7.7851,7.0309,7.7851,7.1340,7.7851,1.9345,7.7851,1.7529,7.7851,2.0172,,
7.8540,15.7991,7.8540,7.6808,7.8540,6.6505,7.8540,2.2446,7.8540,2.0609,7.8540,1.9102,,
7.9229,19.6489,7.9229,7.6857,7.9229,5.0974,7.9229,2.0317,7.9229,2.2387,7.9229,1.2026,,
7.9918,15.6199,7.9918,8.0566,7.9918,5.8097,7.9918,1.0792,7.9918,4.0705,7.9918,1.2178,,
8.0607,19.6329,8.0607,5.8327,8.0607,4.2079,8.0607,1.3368,8.0607,6.6215,8.0607,1.1887,,
8.1296,24.4527,8.1296,5.2688,8.1296,5.4964,8.1296,1.1846,8.1296,8.6630,8.1296,1.8722,,
8.1984,23.9378,8.1984,5.9863,8.1984,13.0842,8.1984,1.1170,8.1984,14.9867,8.1984,2.0038,,
8.2673,23.5654,8.2673,6.6301,8.2673,16.6270,8.2673,1.5041,8.2673,21.9170,8.2673,2.4684,,
8.3362,25.7488,8.3362,6.0921,8.3362,16.5613,8.3362,1.4408,8.3362,22.9079,8.3362,4.4023,,
8.4051,24.1912,8.4051,5.9686,8.4051,19.1365,8.4051,1.4408,8.4051,24.8384,8.4051,6.8002,,
8.4740,23.0546,8.4740,5.2918,8.4740,23.0782,8.4740,0.8721,8.4740,29.5216,8.4740,7.6584,,
8.5429,19.4303,8.5429,4.2707,8.5429,31.7268,8.5429,2.3456,8.5429,33.2392,8.5429,9.4538,,
8.6118,19.0812,8.6118,2.3858,8.6118,27.9993,8.6118,1.2614,8.6118,40.5785,8.6118,8.8855,,
8.6807,17.6349,8.6807,5.1973,8.6807,24.6279,8.6807,2.1039,8.6807,49.7944,8.6807,7.0645,,
8.7496,17.9967,8.7496,6.5424,8.7496,22.1447,8.7496,1.0281,8.7496,52.8246,8.7496,5.7894,,
8.8185,12.7950,8.8185,8.4159,8.8185,23.6035,8.8185,1.2573,8.8185,49.0875,8.8185,5.4132,,
8.8874,7.5261,8.8874,7.5578,8.8874,21.3176,8.8874,1.6858,8.8874,48.6756,8.8874,5.8943,,
8.9563,6.5212,8.9563,8.0325,8.9563,18.1262,8.9563,1.1054,8.9563,66.6606,8.9563,11.4677,,
9.0252,6.3417,9.0252,9.8666,9.0252,14.6512,9.0252,1.5634,9.0252,87.6990,9.0252,13.9244,,
9.0941,6.9939,9.0941,9.9976,9.0941,10.5208,9.0941,2.1717,9.0941,89.1478,9.0941,13.3388,,
9.1630,7.8681,9.1630,12.3164,9.1630,9.0837,9.1630,2.8277,9.1630,72.0749,9.1630,11.7702,,
9.2319,8.2131,9.2319,12.8633,9.2319,9.2111,9.2319,3.7659,9.2319,47.9674,9.2319,10.8759,,
9.3008,7.9280,9.3008,12.5862,9.3008,10.4420,9.3008,4.6825,9.3008,22.5022,9.3008,14.2342,,
9.3697,4.2462,9.3697,15.6760,9.3697,9.8377,9.3697,8.3807,9.3697,16.5672,9.3697,14.6907,,
9.4385,5.0509,9.4385,22.6631,9.4385,6.7533,9.4385,13.0597,9.4385,14.5526,9.4385,14.0700,,
9.5074,5.2439,9.5074,34.0533,9.5074,9.5792,9.5074,10.8614,9.5074,13.1132,9.5074,15.8538,,
9.5763,5.5740,9.5763,42.8058,9.5763,7.9618,9.5763,5.9190,9.5763,9.5896,9.5763,20.6011,,
9.6452,7.1414,9.6452,39.8327,9.6452,6.8675,9.6452,3.9058,9.6452,8.6021,9.6452,25.2133,,
9.7141,5.6024,9.7141,37.3948,9.7141,5.0511,9.7141,5.6124,9.7141,5.2132,9.7141,29.5645,,
9.7830,4.3060,9.7830,47.3011,9.7830,3.8287,9.7830,8.6660,9.7830,4.8858,9.7830,29.3701,,
9.8519,6.8537,9.8519,59.6612,9.8519,3.0669,9.8519,15.0283,9.8519,5.1449,9.8519,24.4707,,
9.9208,8.8389,9.9208,61.7109,9.9208,2.5762,9.9208,26.6807,9.9208,4.7428,9.9208,17.8738,,
9.9897,10.0225,9.9897,52.8415,9.9897,2.7365,9.9897,32.1209,9.9897,4.5740,9.9897,12.9383,,
10.0586,12.1782,10.0586,36.3480,10.0586,5.6272,10.0586,29.0576,10.0586,3.9279,10.0586,12.1613,,
10.1275,13.6222,10.1275,22.6853,10.1275,6.1125,10.1275,19.1326,10.1275,3.3159,10.1275,11.8678,,
10.1964,13.1543,10.1964,23.9916,10.1964,6.3147,10.1964,18.8112,10.1964,2.4841,10.1964,13.7537,,
10.2653,13.4574,10.2653,24.7576,10.2653,5.5828,10.2653,17.2959,10.2653,3.3356,10.2653,14.2821,,
10.3342,14.3059,10.3342,25.2123,10.3342,5.6682,10.3342,25.0137,10.3342,5.2103,10.3342,12.5457,,
10.4031,10.8682,10.4031,26.3898,10.4031,6.0082,10.4031,34.6641,10.4031,5.6656,10.4031,12.0768,,
10.4720,10.6472,10.4720,29.8446,10.4720,7.1987,10.4720,41.2825,10.4720,9.3039,10.4720,13.5888,,
10.5409,8.9071,10.5409,24.2506,10.5409,6.5517,10.5409,42.5189,10.5409,10.7072,10.5409,12.2735,,
10.6098,6.7897,10.6098,21.0105,10.6098,8.4844,10.6098,34.6593,10.6098,10.9516,10.6098,10.3005,,
10.6786,5.8192,10.6786,17.5228,10.6786,11.2700,10.6786,24.6669,10.6786,11.1443,10.6786,5.9787,,
10.7475,3.6701,10.7475,15.8835,10.7475,12.9899,10.7475,19.8478,10.7475,8.0260,10.7475,5.5506,,
10.8164,1.7396,10.8164,16.3660,10.8164,11.4111,10.8164,15.1520,10.8164,5.7129,10.8164,3.4006,,
10.8853,1.6430,10.8853,16.1286,10.8853,7.8956,10.8853,12.3367,10.8853,4.3510,10.8853,2.6107,,
10.9542,4.1663,10.9542,21.8740,10.9542,4.8276,10.9542,10.5853,10.9542,2.2074,10.9542,3.4963,,
11.0231,9.4533,11.0231,24.0566,11.0231,3.6109,11.0231,11.3999,11.0231,2.8989,11.0231,7.8490,,
11.0920,10.6431,11.0920,32.9932,11.0920,2.5751,11.0920,13.4717,11.0920,3.2829,11.0920,13.5429,,
11.1609,12.0010,11.1609,37.8201,11.1609,2.8347,11.1609,10.4888,11.1609,3.0648,11.1609,12.7013,,
11.2298,8.0238,11.2298,25.9835,11.2298,2.6136,11.2298,10.0116,11.2298,1.8802,11.2298,14.3689,,
11.2987,4.8326,11.2987,15.3294,11.2987,3.1602,11.2987,8.9013,11.2987,4.2586,11.2987,10.0851,,
11.3676,2.5304,11.3676,8.1156,11.3676,4.6922,11.3676,6.5754,11.3676,8.9777,11.3676,6.8888,,
11.4365,2.8702,11.4365,5.8094,11.4365,6.1499,11.4365,4.0125,11.4365,18.6995,11.4365,4.5031,,
11.5054,2.5184,11.5054,5.2367,11.5054,5.5598,11.5054,3.4411,11.5054,29.9113,11.5054,4.0257,,
11.5743,2.4848,11.5743,3.4795,11.5743,5.8858,11.5743,2.2708,11.5743,42.2645,11.5743,4.4006,,
11.6432,1.6091,11.6432,2.8798,11.6432,4.3980,11.6432,0.9429,11.6432,39.6782,11.6432,6.5693,,
