X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8
7.5095,21.8911,7.5095,7.4369,7.5095,21.4387,7.5095,32.2033,,,,,7.5095,7.8963,7.5095,18.6080,7.5095,7.0360
7.5784,19.9093,7.5784,6.5354,7.5784,19.9383,7.5784,26.9515,,,,,7.5784,9.0509,7.5784,16.4094,7.5784,8.0813
7.6473,19.5996,7.6473,8.1489,7.6473,16.3230,7.6473,15.0306,,,,,7.6473,10.4557,7.6473,15.9445,7.6473,6.9181
7.7162,18.8250,7.7162,10.2707,7.7162,14.3022,7.7162,7.5788,,,,,7.7162,15.2516,7.7162,17.0217,7.7162,5.2120
7.7851,14.3965,7.7851,14.0340,7.7851,9.4034,7.7851,4.5748,,,,,7.7851,16.0831,7.7851,19.1310,7.7851,3.5968
7.8540,12.4703,7.8540,12.2190,7.8540,6.4735,7.8540,4.8262,,,,,7.8540,14.6787,7.8540,17.0493,7.8540,2.9232
7.9229,10.9650,7.9229,8.4984,7.9229,6.8587,7.9229,4.4238,,,,,7.9229,10.3351,7.9229,12.8529,7.9229,5.0647
7.9918,9.0274,7.9918,4.8145,7.9918,7.7689,7.9918,4.6836,,,,,7.9918,6.7547,7.9918,9.9102,7.9918,10.8645
8.0607,5.7452,8.0607,4.6686,8.0607,9.8838,8.0607,5.4898,,,,,8.0607,4.2007,8.0607,4.9356,8.0607,20.2604
8.1296,4.8099,8.1296,4.6015,8.1296,13.8936,8.1296,8.1958,,,,,8.1296,3.0335,8.1296,3.1661,8.1296,32.7777
8.1984,5.0356,8.1984,5.4533,8.1984,25.7261,8.1984,11.6025,,,,,8.1984,1.7798,8.1984,3.3642,8.1984,37.3194
8.2673,4.7276,8.2673,6.8721,8.2673,35.5508,8.2673,15.1745,,,,,8.2673,1.9197,8.2673,3.8641,8.2673,35.2886
8.3362,4.6804,8.3362,8.2162,8.3362,34.1281,8.3362,15.8509,,,,,8.3362,0.9658,8.3362,5.5970,8.3362,25.2919
8.4051,5.2177,8.4051,10.7067,8.4051,29.4855,8.4051,16.0338,,,,,8.4051,1.0095,8.4051,9.2906,8.4051,19.3931
8.4740,5.7605,8.4740,12.1431,8.4740,20.0520,8.4740,14.5648,,,,,8.4740,1.6245,8.4740,13.2410,8.4740,25.1074
