X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
7.7851,9.5986,7.7851,4.1076,7.7851,12.9620,7.7851,8.3401,7.7851,3.8433,7.7851,5.4637
7.8540,9.2373,7.8540,5.2902,7.8540,7.7619,7.8540,7.4683,7.8540,3.6428,7.8540,4.7385
7.9229,9.2570,7.9229,4.3700,7.9229,3.5835,7.9229,7.1297,7.9229,5.4451,7.9229,6.4975
7.9918,9.7244,7.9918,5.1436,7.9918,3.0257,7.9918,4.4265,7.9918,6.2240,7.9918,6.2870
8.0607,8.2537,8.0607,6.3979,8.0607,3.5007,8.0607,2.7059,8.0607,6.6734,8.0607,6.2900
8.1296,6.7690,8.1296,12.0666,8.1296,3.7091,8.1296,2.3552,8.1296,4.7196,8.1296,7.8619
8.1984,6.0114,8.1984,18.4886,8.1984,3.3509,8.1984,3.4916,8.1984,2.4553,8.1984,10.9061
8.2673,4.7160,8.2673,18.2967,8.2673,3.5059,8.2673,6.3294,8.2673,1.6281,8.2673,9.8191
8.3362,3.5846,8.3362,17.8373,8.3362,3.5301,8.3362,11.5807,8.3362,1.5816,8.3362,5.6179
8.4051,3.7642,8.4051,11.2774,8.4051,2.9432,8.4051,13.0896,8.4051,1.2928,8.4051,2.3359
8.4740,2.6812,8.4740,8.3311,8.4740,4.5061,8.4740,9.3543,8.4740,0.8579,8.4740,1.5927
8.5429,4.2731,8.5429,5.2123,8.5429,3.7118,8.5429,7.7321,8.5429,0.9241,8.5429,1.7637
8.6118,6.4397,8.6118,4.9662,8.6118,2.3392,8.6118,4.3634,8.6118,0.7520,8.6118,2.5369
8.6807,10.5813,8.6807,4.6634,8.6807,5.2371,8.6807,2.0151,8.6807,1.9339,8.6807,4.4804
8.7496,13.4287,8.7496,5.2950,8.7496,9.0421,8.7496,1.3824,8.7496,2.0269,8.7496,8.1900
8.8185,12.5594,8.8185,5.6073,8.8185,11.0390,8.8185,2.5473,8.8185,3.1779,8.8185,10.8297
8.8874,9.9317,8.8874,7.9530,8.8874,11.9485,8.8874,3.8905,8.8874,5.1790,8.8874,12.0666
8.9563,8.4267,8.9563,8.1943,8.9563,7.6027,8.9563,6.2696,8.9563,4.8632,8.9563,13.7697
9.0252,7.1359,9.0252,9.1014,9.0252,4.3465,9.0252,12.5099,9.0252,5.8872,9.0252,18.0977
9.0941,5.3746,9.0941,6.0941,9.0941,5.5972,9.0941,17.0563,9.0941,8.4590,9.0941,21.7555
9.1630,6.0589,9.1630,8.6790,9.1630,6.6358,9.1630,20.4733,9.1630,9.2667,9.1630,28.0005
