Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
12.2632,6.8644,,,12.2632,12.8569,12.2632,14.5815,12.2632,48.3055,12.2632,24.4889
12.3321,7.0730,,,12.3321,11.0395,12.3321,10.5395,12.3321,40.6028,12.3321,23.3712
12.4010,8.0815,,,12.4010,9.6089,12.4010,9.1072,12.4010,24.8473,12.4010,22.1333
12.4699,7.2416,,,12.4699,9.1115,12.4699,10.9084,12.4699,17.1839,12.4699,15.8085
12.5388,6.7163,,,12.5388,9.2131,12.5388,6.5749,12.5388,14.9079,12.5388,10.2931
12.6077,4.5709,,,12.6077,11.7518,12.6077,5.0797,12.6077,15.4340,12.6077,8.6296
12.6766,3.8778,,,12.6766,11.3707,12.6766,3.6049,12.6766,14.0630,12.6766,6.7827
12.7455,4.0148,,,12.7455,7.4285,12.7455,4.1702,12.7455,12.9749,12.7455,7.9294
12.8144,3.8038,,,12.8144,4.9172,12.8144,5.4578,12.8144,12.6105,12.8144,8.9587
12.8833,2.7233,,,12.8833,2.9991,12.8833,6.4766,12.8833,13.7745,12.8833,9.7054
12.9522,2.7746,,,12.9522,3.3520,12.9522,5.5438,12.9522,13.4231,12.9522,10.5884
13.0211,2.3452,,,13.0211,5.3835,13.0211,5.5285,13.0211,14.2305,13.0211,11.4576
13.0900,2.8312,,,13.0900,5.2755,13.0900,9.1800,13.0900,19.0682,13.0900,10.6846
13.1588,2.7320,,,13.1588,5.3337,13.1588,12.7770,13.1588,17.0414,13.1588,8.1218
13.2277,3.0285,,,13.2277,4.5920,13.2277,13.9662,13.2277,15.1816,13.2277,6.5400
13.2966,2.6476,,,13.2966,6.4699,13.2966,11.1423,13.2966,17.0177,13.2966,5.2891
13.3655,3.6882,,,13.3655,8.2636,13.3655,4.8817,13.3655,20.7659,13.3655,5.4098
13.4344,5.5883,,,13.4344,7.6853,13.4344,4.4163,13.4344,20.0374,13.4344,9.1936
13.5033,4.1370,,,13.5033,9.7425,13.5033,3.9756,13.5033,19.5516,13.5033,9.3610
13.5722,3.7741,,,13.5722,10.5462,13.5722,5.8688,13.5722,13.9422,13.5722,11.0741
13.6411,5.5326,,,13.6411,11.8682,13.6411,5.9516,13.6411,9.3739,13.6411,9.6367
13.7100,4.9265,,,13.7100,12.1550,13.7100,4.6576,13.7100,6.5706,13.7100,7.5087
13.7789,4.0574,,,13.7789,11.5660,13.7789,4.8624,13.7789,5.3849,13.7789,3.9680
13.8478,3.1421,,,13.8478,15.4515,13.8478,7.4216,13.8478,7.8757,13.8478,3.4121
