Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4
11.3676,4.6341,11.3676,2.0019,11.3676,1.88567,11.3676,1.62003,11.3676,2.2728
11.4365,4.9217,11.4365,2.6568,11.4365,2.25031,11.4365,1.73946,11.4365,1.3488
11.5054,5.9382,11.5054,2.5197,11.5054,1.57845,11.5054,3.09365,11.5054,1.6415
11.5743,6.8287,11.5743,0.8693,11.5743,2.11129,11.5743,3.28326,11.5743,1.7868
11.6432,6.7218,11.6432,1.0345,11.6432,1.42774,11.6432,3.37501,11.6432,1.8471
11.7121,7.1138,11.7121,1.0777,11.7121,1.03174,11.7121,3.38595,11.7121,1.4541
11.7810,7.1891,11.7810,1.1566,11.7810,1.18554,11.7810,3.84253,11.7810,1.6302
11.8499,6.0562,11.8499,1.2547,11.8499,1.18472,11.8499,3.75089,11.8499,2.0057
11.9187,4.1094,11.9187,1.1367,11.9187,0.75507,11.9187,3.75038,11.9187,1.6154
11.9876,2.7926,11.9876,1.2914,11.9876,0.44748,11.9876,3.72199,11.9876,2.1135
12.0565,2.9417,12.0565,1.3402,12.0565,0.87659,12.0565,3.39737,12.0565,1.4963
12.1254,3.1755,12.1254,2.0804,12.1254,1.02163,12.1254,4.22218,12.1254,2.4058
12.1943,1.8616,12.1943,2.3759,12.1943,1.84210,12.1943,4.84562,12.1943,3.5162
12.2632,1.4346,12.2632,2.9455,12.2632,1.72798,12.2632,4.31391,12.2632,4.6991
12.3321,0.9238,12.3321,3.3855,12.3321,1.48446,12.3321,3.75260,12.3321,4.4208
12.4010,1.2835,12.4010,3.5867,12.4010,2.26450,12.4010,2.19603,12.4010,4.2713
12.4699,1.1919,12.4699,3.1982,12.4699,3.87548,12.4699,2.48305,12.4699,3.4634
12.5388,1.2954,12.5388,2.9235,12.5388,6.54723,12.5388,2.18929,12.5388,2.8438
12.6077,0.7932,12.6077,2.4577,12.6077,6.75195,12.6077,2.53440,12.6077,2.8212
12.6766,0.7280,12.6766,3.9038,12.6766,4.73589,12.6766,2.02804,12.6766,1.6828
12.7455,0.7981,12.7455,5.5784,12.7455,3.75885,12.7455,1.80320,12.7455,1.4424
12.8144,1.1389,12.8144,6.6051,12.8144,3.21859,12.8144,1.95786,12.8144,1.3379
12.8833,1.0909,12.8833,5.9542,12.8833,2.60838,12.8833,2.26214,12.8833,1.2259
12.9522,1.3234,12.9522,6.8316,12.9522,2.94489,12.9522,2.32706,12.9522,2.3122
13.0211,2.2043,13.0211,5.3515,13.0211,2.69285,13.0211,2.58988,13.0211,2.3984
13.0900,2.0820,13.0900,4.4697,13.0900,2.07979,13.0900,2.86269,13.0900,2.6302
13.1588,2.6684,13.1588,4.8726,13.1588,1.77445,13.1588,2.54201,13.1588,2.2275
13.2277,2.2838,13.2277,5.4983,13.2277,1.66511,13.2277,3.79933,13.2277,1.2146
13.2966,2.9018,13.2966,4.6306,13.2966,1.73503,13.2966,4.08515,13.2966,1.1052
13.3655,2.6887,13.3655,3.7287,13.3655,1.73779,13.3655,3.86746,13.3655,1.2911
13.4344,2.7522,13.4344,4.0072,13.4344,1.79212,13.4344,4.34381,13.4344,0.7692
13.5033,3.1098,13.5033,3.0359,13.5033,1.57543,13.5033,3.69706,13.5033,0.9757
13.5722,3.0600,13.5722,3.3086,13.5722,1.15637,13.5722,2.62518,13.5722,0.7639
13.6411,2.9438,13.6411,3.5831,13.6411,1.11728,13.6411,2.46892,13.6411,0.9334
13.7100,2.7781,13.7100,4.3218,13.7100,1.07284,13.7100,1.66559,13.7100,0.8562
13.7789,2.5089,13.7789,3.9371,13.7789,1.00617,13.7789,1.89756,13.7789,0.9089
13.8478,2.6803,13.8478,3.9215,13.8478,1.69699,13.8478,1.11608,13.8478,0.7555
13.9167,2.2204,13.9167,3.0788,13.9167,1.57277,13.9167,1.11760,13.9167,1.1169
13.9856,2.1721,13.9856,2.3197,13.9856,1.16788,13.9856,1.26838,13.9856,1.3605
14.0545,1.3626,14.0545,3.0507,14.0545,0.98261,14.0545,1.47756,14.0545,1.3608
14.1234,1.8091,14.1234,2.3800,14.1234,1.22469,14.1234,2.20149,14.1234,1.5443
14.1923,2.2299,14.1923,2.1285,14.1923,1.39337,14.1923,2.29639,14.1923,1.1242
14.2612,1.7788,14.2612,2.7113,14.2612,1.22448,14.2612,1.74222,14.2612,1.0989
14.3301,1.0791,14.3301,2.0954,14.3301,0.82269,14.3301,1.97306,14.3301,1.4409
14.3989,1.9251,14.3989,2.0395,14.3989,1.26126,14.3989,1.83863,14.3989,1.3609
14.4678,1.5815,14.4678,1.3924,14.4678,1.31697,14.4678,1.62300,14.4678,1.8994
14.5367,0.5027,14.5367,1.2777,14.5367,1.49911,14.5367,2.74443,14.5367,2.1324
14.6056,1.0506,14.6056,1.3303,14.6056,1.16730,14.6056,3.69043,14.6056,2.8750
14.6745,1.4283,14.6745,1.1701,14.6745,1.85267,14.6745,3.92831,14.6745,2.5247
14.7434,1.5123,14.7434,1.1354,14.7434,1.91219,14.7434,5.62243,14.7434,2.0112
14.8123,1.2889,14.8123,1.0359,14.8123,2.03158,14.8123,4.88810,14.8123,2.7003
14.8812,1.9533,14.8812,0.8158,14.8812,2.96814,14.8812,4.53813,14.8812,3.8840
14.9501,1.5376,14.9501,1.6754,14.9501,3.33872,14.9501,4.63069,14.9501,4.3605
15.0190,2.4668,15.0190,1.4593,15.0190,2.43454,15.0190,3.75031,15.0190,6.3444
15.0879,4.1513,15.0879,1.6578,15.0879,2.25115,15.0879,4.48563,15.0879,6.8684
15.1568,6.1653,15.1568,2.0765,15.1568,2.53243,15.1568,5.12602,15.1568,7.8037
15.2257,7.4127,15.2257,2.4569,15.2257,1.40739,15.2257,5.14017,15.2257,6.9675
15.2946,9.3121,15.2946,3.8526,15.2946,1.42694,15.2946,5.35539,15.2946,5.8438
15.3635,10.2466,15.3635,5.1426,15.3635,1.28720,15.3635,3.71564,15.3635,4.8564
15.4324,11.8205,15.4324,5.0661,15.4324,1.14564,15.4324,2.72034,15.4324,4.0400
15.5013,9.9715,15.5013,2.7848,15.5013,1.14380,15.5013,2.32938,15.5013,3.8509
15.5702,9.2963,15.5702,1.7579,15.5702,1.26703,15.5702,1.54987,15.5702,4.2977
15.6391,8.0063,15.6391,1.8656,15.6391,1.88245,15.6391,1.43597,15.6391,3.6904
15.7079,4.5740,15.7079,1.3124,15.7079,2.17364,15.7079,1.47255,15.7079,3.9381
15.7768,3.4269,15.7768,0.7940,15.7768,2.46354,15.7768,1.98997,15.7768,3.4970
15.8457,3.2774,15.8457,0.8718,15.8457,1.93913,15.8457,1.99003,15.8457,2.9409
15.9146,2.6261,15.9146,1.0502,15.9146,2.01026,15.9146,2.40959,15.9146,2.4060
15.9835,2.0372,15.9835,0.9492,15.9835,3.41120,15.9835,1.72427,15.9835,1.9050
16.0524,2.0217,16.0524,0.5176,16.0524,3.57260,16.0524,1.48453,16.0524,0.8959
16.1213,2.5294,16.1213,0.5327,16.1213,4.13593,16.1213,0.93177,16.1213,0.6804
16.1902,2.6874,16.1902,0.7677,16.1902,5.88791,16.1902,1.31871,16.1902,0.8120
16.2591,2.6990,16.2591,0.7838,16.2591,7.15909,16.2591,1.44986,16.2591,0.7274
16.3280,2.6992,16.3280,0.8492,16.3280,7.40157,16.3280,1.72690,16.3280,1.1415
16.3969,1.8872,16.3969,0.6305,16.3969,7.40942,16.3969,2.34747,16.3969,1.1307
16.4658,2.3376,16.4658,0.5393,16.4658,6.32247,16.4658,1.81546,16.4658,1.5459
16.5347,2.1212,16.5347,0.4608,16.5347,6.41077,16.5347,1.69153,16.5347,1.4828
16.6036,1.5999,16.6036,0.9628,16.6036,6.72790,16.6036,1.99177,16.6036,1.5461
16.6725,1.3759,16.6725,0.4534,16.6725,5.19764,16.6725,1.67043,16.6725,2.3103
16.7414,0.7060,16.7414,0.6090,16.7414,3.86000,16.7414,2.23859,16.7414,1.4619
16.8103,1.1939,16.8103,0.6042,16.8103,2.26452,16.8103,2.08738,16.8103,1.9534
16.8792,1.0095,16.8792,0.4929,16.8792,2.10209,16.8792,0.95287,16.8792,2.0836
16.9480,0.8188,16.9480,0.9361,16.9480,2.50776,16.9480,1.17623,16.9480,2.2895
17.0169,0.7275,17.0169,1.8428,17.0169,2.46678,17.0169,0.99053,17.0169,2.6779
17.0858,0.9805,17.0858,1.7533,17.0858,2.38667,17.0858,1.01716,17.0858,1.9841
17.1547,1.3395,17.1547,1.7220,17.1547,2.26072,17.1547,1.00714,17.1547,1.6579
17.2236,1.0594,17.2236,2.0693,17.2236,1.76892,17.2236,0.74809,17.2236,2.0795
17.2925,1.1265,17.2925,2.6401,17.2925,1.20101,17.2925,0.68841,17.2925,1.4873
17.3614,1.3154,17.3614,3.4958,17.3614,0.93316,17.3614,1.03415,17.3614,1.7207
17.4303,1.1517,17.4303,3.5535,17.4303,0.57954,17.4303,1.49096,17.4303,1.7785
17.4992,1.1449,17.4992,3.3546,17.4992,0.98729,17.4992,1.17868,17.4992,0.9972
17.5681,1.1515,17.5681,3.7248,17.5681,1.05681,17.5681,2.47884,17.5681,0.9357
17.6370,1.4705,17.6370,3.1020,17.6370,0.89605,17.6370,2.32338,17.6370,0.9648
17.7059,1.5324,17.7059,4.7740,17.7059,0.73096,17.7059,2.91407,17.7059,1.4542
17.7748,1.4914,17.7748,5.6506,17.7748,0.83061,17.7748,4.95803,17.7748,1.6381
17.8437,1.2490,17.8437,6.7325,17.8437,0.73626,17.8437,8.03495,17.8437,1.5320
17.9126,1.2889,17.9126,8.3736,17.9126,0.82622,17.9126,8.20073,17.9126,2.4017
17.9815,1.1914,17.9815,8.0949,17.9815,0.92926,17.9815,10.03634,17.9815,2.0545
18.0504,1.0458,18.0504,8.8150,18.0504,0.57938,18.0504,7.61785,18.0504,2.0354
18.1193,1.0860,18.1193,7.6965,18.1193,0.87049,18.1193,5.73171,18.1193,1.6351
18.1881,1.4112,18.1881,8.7751,18.1881,1.11328,18.1881,3.44251,18.1881,1.9687
18.2570,1.3091,18.2570,8.4892,18.2570,0.87894,18.2570,2.60683,18.2570,3.4794
18.3259,0.9865,18.3259,9.2230,18.3259,0.69962,18.3259,1.59876,18.3259,4.1481
18.3948,1.0927,18.3948,8.5125,18.3948,0.87512,18.3948,1.07220,18.3948,5.8907
18.4637,0.8104,18.4637,7.8250,18.4637,0.66373,18.4637,0.89365,18.4637,7.2866
18.5326,1.0137,18.5326,5.4506,18.5326,0.75930,18.5326,0.74643,18.5326,9.5064
18.6015,1.3482,18.6015,3.9910,18.6015,0.87780,18.6015,1.13792,18.6015,11.1567
18.6704,1.7830,18.6704,2.9418,18.6704,1.44362,18.6704,1.52720,18.6704,10.1371
18.7393,2.3928,18.7393,3.0589,18.7393,2.42173,18.7393,0.91861,18.7393,8.0408
18.8082,2.9449,18.8082,2.7019,18.8082,2.36256,18.8082,1.02576,18.8082,5.2734
18.8771,2.0271,18.8771,2.4927,18.8771,2.23941,18.8771,1.03004,18.8771,3.6234
18.9460,2.1030,18.9460,1.7411,18.9460,2.69324,18.9460,1.18203,18.9460,2.7512
