Distance_(microns),Value,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5
9.9208,1.0106,9.9208,3.46177,9.9208,3.51474,9.9208,2.6986,9.9208,2.3573,9.9208,0.5881
9.9897,0.6793,9.9897,4.26352,9.9897,3.98480,9.9897,2.3448,9.9897,2.3937,9.9897,0.6757
10.0586,0.7062,10.0586,3.97921,10.0586,3.56451,10.0586,2.9338,10.0586,2.0009,10.0586,1.4941
10.1275,0.7843,10.1275,3.68302,10.1275,3.15721,10.1275,2.5421,10.1275,1.9616,10.1275,1.4006
10.1964,0.8640,10.1964,3.01462,10.1964,2.70073,10.1964,2.8302,10.1964,2.2805,10.1964,1.1981
10.2653,0.7954,10.2653,3.04872,10.2653,2.54141,10.2653,2.3484,10.2653,3.1419,10.2653,0.7642
10.3342,0.8501,10.3342,2.48171,10.3342,2.22032,10.3342,2.7350,10.3342,3.2775,10.3342,0.4794
10.4031,1.0989,10.4031,2.55581,10.4031,3.02535,10.4031,3.1013,10.4031,4.4039,10.4031,0.5175
10.4720,1.0100,10.4720,2.15037,10.4720,2.05419,10.4720,3.3345,10.4720,4.5847,10.4720,0.7463
10.5409,0.8633,10.5409,1.42736,10.5409,2.62433,10.5409,2.2651,10.5409,5.6147,10.5409,1.0544
10.6098,0.9414,10.6098,1.94456,10.6098,2.16027,10.6098,1.9876,10.6098,4.5551,10.6098,1.3125
10.6786,1.7395,10.6786,1.18452,10.6786,2.80203,10.6786,2.9133,10.6786,2.9271,10.6786,1.2043
10.7475,1.6111,10.7475,0.65525,10.7475,3.58109,10.7475,1.9507,10.7475,2.9826,10.7475,1.0976
10.8164,1.7621,10.8164,0.72824,10.8164,3.48453,10.8164,2.0465,10.8164,2.8366,10.8164,1.5499
10.8853,0.5990,10.8853,0.87995,10.8853,3.85708,10.8853,2.0412,10.8853,2.6725,10.8853,1.1419
10.9542,1.0924,10.9542,0.75522,10.9542,4.46598,10.9542,2.3454,10.9542,2.0042,10.9542,0.9936
11.0231,1.8110,11.0231,1.11606,11.0231,4.89621,11.0231,1.9175,11.0231,1.7148,11.0231,1.1246
11.0920,1.7847,11.0920,1.31454,11.0920,4.72641,11.0920,1.8195,11.0920,2.4377,11.0920,1.1282
11.1609,1.8758,11.1609,1.07310,11.1609,4.46035,11.1609,2.5113,11.1609,3.2407,11.1609,0.7412
11.2298,1.8373,11.2298,1.13394,11.2298,3.91851,11.2298,2.6937,11.2298,2.9601,11.2298,0.7491
11.2987,2.4554,11.2987,0.92237,11.2987,4.17155,11.2987,3.0937,11.2987,3.3605,11.2987,1.0726
11.3676,2.3646,11.3676,1.41322,11.3676,2.83852,11.3676,3.7742,11.3676,3.0116,11.3676,1.6537
11.4365,3.3717,11.4365,1.62550,11.4365,2.66803,11.4365,6.2370,11.4365,1.8384,11.4365,2.0900
11.5054,3.7764,11.5054,1.40170,11.5054,2.47896,11.5054,9.5198,11.5054,2.1353,11.5054,3.3770
11.5743,2.9284,11.5743,1.95785,11.5743,2.12397,11.5743,17.0115,11.5743,2.0644,11.5743,4.3078
11.6432,3.3775,11.6432,1.40327,11.6432,1.58484,11.6432,18.1547,11.6432,2.1043,11.6432,4.5531
11.7121,3.5117,11.7121,1.34667,11.7121,2.62139,11.7121,17.6869,11.7121,2.2681,11.7121,3.9725
11.7810,3.2665,11.7810,1.62916,11.7810,3.30421,11.7810,15.0855,11.7810,2.2738,11.7810,3.6813
11.8499,2.4287,11.8499,1.81190,11.8499,3.60038,11.8499,12.3067,11.8499,3.2400,11.8499,3.5952
11.9187,2.1857,11.9187,1.61219,11.9187,4.20787,11.9187,10.4124,11.9187,3.6932,11.9187,3.2383
11.9876,2.4766,11.9876,1.40412,11.9876,3.89776,11.9876,7.8850,11.9876,3.5546,11.9876,2.6586
12.0565,2.4645,12.0565,1.96182,12.0565,3.44598,12.0565,6.0890,12.0565,4.6541,12.0565,2.4263
12.1254,2.5237,12.1254,1.78010,12.1254,3.96157,12.1254,5.4067,12.1254,6.0235,12.1254,3.5354
12.1943,2.4237,12.1943,1.38242,12.1943,3.69417,12.1943,4.7279,12.1943,5.9096,12.1943,2.7051
12.2632,1.9187,12.2632,2.16256,12.2632,3.69619,12.2632,3.8052,12.2632,7.0067,12.2632,2.4373
12.3321,1.7447,12.3321,2.34119,12.3321,3.06843,12.3321,3.0695,12.3321,7.5515,12.3321,2.5029
12.4010,2.1534,12.4010,2.86932,12.4010,2.53020,12.4010,2.7012,12.4010,7.8375,12.4010,1.8520
12.4699,3.0722,12.4699,3.14631,12.4699,2.12378,12.4699,3.2876,12.4699,6.4341,12.4699,1.3111
12.5388,4.3196,12.5388,3.54297,12.5388,2.10812,12.5388,3.3476,12.5388,5.8949,12.5388,1.0273
12.6077,5.2835,12.6077,2.78315,12.6077,1.78772,12.6077,3.1589,12.6077,5.6010,12.6077,1.5027
12.6766,5.9461,12.6766,2.70924,12.6766,1.83416,12.6766,2.5969,12.6766,5.5726,12.6766,1.8078
12.7455,5.0019,12.7455,2.32093,12.7455,2.39621,12.7455,2.9465,12.7455,5.2372,12.7455,1.3398
12.8144,4.5989,12.8144,2.10232,12.8144,2.50247,12.8144,2.2508,12.8144,4.3777,12.8144,1.3041
12.8833,4.4795,12.8833,2.45503,12.8833,4.41379,12.8833,2.6898,12.8833,4.4617,12.8833,1.1544
12.9522,4.6966,12.9522,2.20676,12.9522,4.36407,12.9522,3.1587,12.9522,5.1164,12.9522,0.9676
13.0211,4.2446,13.0211,1.39983,13.0211,5.57416,13.0211,2.3647,13.0211,5.1854,13.0211,1.0601
13.0900,4.2467,13.0900,1.27965,13.0900,4.06603,13.0900,2.9801,13.0900,5.1562,13.0900,1.8652
13.1588,4.6194,13.1588,1.73432,13.1588,4.33625,13.1588,3.1504,13.1588,4.5893,13.1588,3.8318
13.2277,4.7969,13.2277,2.28349,13.2277,3.39607,13.2277,4.3672,13.2277,4.2348,13.2277,3.9452
13.2966,5.5255,13.2966,1.98894,13.2966,3.16384,13.2966,3.5527,13.2966,4.0788,13.2966,4.4982
13.3655,5.0951,13.3655,1.84143,13.3655,2.10681,13.3655,3.4646,13.3655,5.7760,13.3655,4.3930
13.4344,4.9122,13.4344,2.09534,13.4344,2.15770,13.4344,2.6714,13.4344,4.6185,13.4344,3.7582
13.5033,5.4349,13.5033,2.22620,13.5033,2.82353,13.5033,3.0710,13.5033,4.3134,13.5033,2.7277
13.5722,5.5949,13.5722,2.20190,13.5722,3.52775,13.5722,3.3640,13.5722,3.8594,13.5722,2.1730
13.6411,6.8190,13.6411,2.95002,13.6411,4.57820,13.6411,2.8826,13.6411,2.9041,13.6411,1.8561
13.7100,8.0290,13.7100,3.37118,13.7100,4.72357,13.7100,2.5200,13.7100,3.1226,13.7100,1.3222
13.7789,10.1953,13.7789,4.30437,13.7789,5.22087,13.7789,1.8320,13.7789,2.6093,13.7789,1.1202
13.8478,8.4453,13.8478,4.11018,13.8478,4.41371,13.8478,1.7800,13.8478,2.2404,13.8478,1.1209
13.9167,6.4892,13.9167,4.59513,13.9167,3.99932,13.9167,2.1027,13.9167,2.6326,13.9167,1.4361
13.9856,5.7365,13.9856,4.67479,13.9856,3.34128,13.9856,1.9004,13.9856,2.1596,13.9856,2.2280
14.0545,4.0193,14.0545,6.19754,14.0545,4.04296,14.0545,1.5564,14.0545,2.3844,14.0545,1.8809
14.1234,3.2524,14.1234,8.01935,14.1234,4.02701,14.1234,1.9878,14.1234,2.2543,14.1234,1.2478
14.1923,3.4043,14.1923,7.46424,14.1923,4.63147,14.1923,2.5694,14.1923,2.0172,14.1923,1.0460
14.2612,2.8401,14.2612,8.68224,14.2612,4.34724,14.2612,2.2587,14.2612,2.0969,14.2612,1.5786
14.3301,1.5684,14.3301,8.59512,14.3301,5.30625,14.3301,2.5752,14.3301,2.0179,14.3301,1.5862
14.3989,1.2968,14.3989,9.51965,14.3989,5.47937,14.3989,3.0072,14.3989,1.7795,14.3989,1.6617
14.4678,2.5436,14.4678,8.63096,14.4678,5.61006,14.4678,3.5527,14.4678,1.6273,14.4678,1.7234
14.5367,3.4357,14.5367,9.34712,14.5367,4.51102,14.5367,4.5690,14.5367,1.6715,14.5367,1.1082
14.6056,3.9045,14.6056,6.81538,14.6056,5.12650,14.6056,5.0612,14.6056,1.7101,14.6056,0.5738
14.6745,4.0090,14.6745,5.28255,14.6745,5.87666,14.6745,4.4716,14.6745,1.3890,14.6745,1.2553
14.7434,4.3717,14.7434,4.05396,14.7434,5.75225,14.7434,4.0626,14.7434,1.3292,14.7434,1.5941
14.8123,5.8411,14.8123,3.49153,14.8123,6.32568,14.8123,4.0246,14.8123,2.2974,14.8123,1.3241
14.8812,7.1447,14.8812,5.38937,14.8812,6.52812,14.8812,4.1679,14.8812,1.7766,14.8812,1.2614
14.9501,7.6221,14.9501,6.13728,14.9501,5.66146,14.9501,4.3804,14.9501,1.5577,14.9501,1.3108
15.0190,6.9848,15.0190,5.38099,15.0190,4.97464,15.0190,5.0346,15.0190,1.1683,15.0190,1.4783
15.0879,7.7408,15.0879,4.56650,15.0879,5.02403,15.0879,4.4184,15.0879,0.8376,15.0879,1.6662
15.1568,9.4292,15.1568,3.49625,15.1568,4.25091,15.1568,3.4240,15.1568,0.5437,15.1568,1.8339
15.2257,8.9810,15.2257,3.79067,15.2257,3.36942,15.2257,3.5407,15.2257,1.1543,15.2257,1.3312
15.2946,7.8848,15.2946,3.83915,15.2946,2.64065,15.2946,3.0583,15.2946,1.0406,15.2946,1.7481
15.3635,5.6878,15.3635,4.60547,15.3635,2.10091,15.3635,2.4473,15.3635,1.0028,15.3635,2.1708
15.4324,4.3738,15.4324,4.52500,15.4324,1.92579,15.4324,2.6121,15.4324,1.2378,15.4324,2.5722
15.5013,3.1164,15.5013,4.98254,15.5013,2.69778,15.5013,3.0032,15.5013,0.7294,15.5013,3.1951
15.5702,3.1126,15.5702,6.41532,15.5702,2.30463,15.5702,3.9816,15.5702,1.0861,15.5702,3.3153
15.6391,3.4401,15.6391,6.69839,15.6391,2.28263,15.6391,3.0885,15.6391,1.0342,15.6391,2.5234
15.7079,2.2689,15.7079,5.67768,15.7079,2.49399,15.7079,2.2019,15.7079,0.9627,15.7079,2.4960
15.7768,2.5037,15.7768,4.64695,15.7768,2.11672,15.7768,1.8467,15.7768,1.0164,15.7768,3.1594
