,condition,sample_num,cell_a,cell_b,edge_angle_rad,mean_intensity,mean_int_minus_bkgd,mean_int_no_verts,mean_int_no_verts_minus_bkgd
378,fat2N1032,05,180,177,1.4161957813636958,10.625,4.46426060089495,7.442922374429224,1.282182975324174
379,fat2N1032,05,182,168,0.20365852597754822,11.454404945904173,5.293665546799123,10.259493670886076,4.098754271781027
380,fat2N1032,05,182,176,0.992894389832651,15.039024390243902,8.878284991138852,4.3478260869565215,-1.8129133121485284
381,fat2N1032,05,182,178,1.3308301530162503,10.073846153846153,3.9131067547411034,7.06031746031746,0.8995780612124102
382,fat2N1032,05,184,179,1.3258176636680326,6.576449912126538,0.4157105130214882,3.611111111111111,-2.5496282879939387
383,fat2N1032,05,184,182,1.3325515686161515,14.320224719101123,8.159485319996072,10.0,3.83926060089495
384,fat2N1032,05,184,176,0.1329323395897668,10.603603603603604,4.442864204498554,8.336317135549873,2.175577736444823
385,fat2N1032,05,185,177,0.07006058263845544,11.216931216931217,5.056191817826167,7.540229885057471,1.379490485952421
386,fat2N1032,05,185,178,0.8519663271732721,11.935567010309278,5.774827611204228,5.333333333333333,-0.8274060657717168
387,fat2N1032,05,185,180,1.0121970114513341,10.877470355731225,4.716730956626175,7.586956521739131,1.426217122634081
388,w1118,05,14,12,1.329555964010833,15.048723897911833,6.195149100235451,10.45697896749522,1.6034041698188375
389,w1118,05,19,14,1.4100335861690618,22.05133079847909,13.197756000802707,12.429347826086957,3.575773028410575
390,w1118,05,21,12,0.7305083008032945,10.976851851851851,2.1232770541754693,8.685328185328185,-0.16824661234819693
391,w1118,05,24,16,1.5152978215491797,21.604,12.750425202323617,9.927777777777777,1.0742029801013953
392,w1118,05,25,19,1.0276067505070685,12.072570725707257,3.218995928030875,4.752083333333333,-4.101491464343049
393,w1118,05,25,20,1.1872688108379048,20.767123287671232,11.91354848999485,9.79245283018868,0.9388780325122976
394,w1118,05,26,20,0.8960553845713437,20.281183932346725,11.427609134670343,10.5390625,1.685487702323618
395,w1118,05,28,21,1.5167948264189282,17.511434511434512,8.65785971375813,11.93867924528302,3.0851044476066374
396,w1118,05,28,24,1.5308176396716064,20.141618497109828,11.288043699433446,13.647727272727273,4.7941524750508915
397,w1118,05,30,14,0.6947382761967029,24.83467741935484,15.981102621678458,22.261964735516372,13.40838993783999
398,w1118,05,30,19,1.2874883624194424,25.61552028218695,16.76194548451057,13.97008547008547,5.116510672409088
399,w1118,05,31,14,0.44899664271941275,27.96260554885404,19.109030751177656,27.86815415821501,19.014579360538626
400,w1118,05,31,21,1.0548708133296119,13.012244897959183,4.1586701002828015,10.114551083591332,1.2609762859149498
401,w1118,05,31,30,1.4496533126369733,27.98184176394293,19.12826696626655,20.89269406392694,12.039119266250557
402,w1118,05,33,16,0.7631795980707292,36.61622807017544,27.76265327249906,22.714285714285715,13.860710916609333
403,w1118,05,33,22,1.3833672143512228,21.762086513994912,12.90851171631853,13.403547671840355,4.549972874163974
404,w1118,05,34,20,0.20632389402971718,21.304347826086957,12.450773028410575,10.196078431372548,1.3425036336961664
405,w1118,05,34,26,1.0906212971913698,18.57953488372093,9.72596008604455,12.201884253028263,3.348309455351881
406,w1118,05,35,33,1.5495229407708353,20.75,11.896425202323618,11.829113924050633,2.975539126374251
407,w1118,05,35,16,0.2034930452575625,23.97398190045249,15.120407102776108,18.267399267399266,9.413824469722885
408,w1118,05,35,24,1.1869787035063277,31.508042895442358,22.654468097765978,20.695121951219512,11.84154715354313
409,w1118,05,37,26,0.9764108312077999,18.442247658688867,9.588672861012485,10.594202898550725,1.7406281008743427
410,w1118,05,38,34,1.539878347231854,17.253205128205128,8.399630330528746,12.3125,3.458925202323618
411,w1118,05,38,20,0.4636476090008061,37.44970414201183,28.596129344335452,,
412,w1118,05,38,25,0.6457508237829961,18.875435540069688,10.021860742393306,14.210718635809988,5.357143838133606
413,w1118,05,39,19,0.09966865249116202,27.719758064516128,18.866183266839748,22.916666666666668,14.063091868990286
414,w1118,05,39,25,1.3382393849899876,17.822222222222223,8.968647424545841,9.091836734693878,0.2382619370174961
415,w1118,05,39,30,1.0673969423982426,20.203488372093023,11.349913574416641,11.388809182209469,2.535234384533087
416,w1118,05,42,41,0.931026543968271,23.193298969072163,14.339724171395781,25.38888888888889,16.535314091212506
417,w1118,05,42,22,1.3499675570655483,32.6965811965812,23.84300639890482,23.35989010989011,14.506315312213728
