,position (um),Ecad intensity,Abi intensity
392,27.0066,5.7337,3.5793
393,27.0755,6.9145,3.6072
394,27.1444,9.6969,4.4165
395,27.2133,13.0174,4.31
396,27.2822,15.6334,3.9283
397,27.3511,18.209,5.5811
398,27.42,24.7945,8.3287
399,27.4889,25.6519,10.691
400,27.5578,21.7862,10.0563
401,27.6267,16.1368,8.3245
402,27.6956,10.1173,5.8183
403,27.7645,8.9559,3.6869
404,27.8334,5.9454,2.5996
405,27.9023,4.5623,1.6383
406,27.9712,4.1994,1.3646
407,28.0401,3.7655,1.0924
408,28.109,4.3093,1.6463
409,28.1778,4.4562,1.3703
410,28.2467,4.7447,1.2521
411,28.3156,5.4077,1.6291
412,28.3845,6.3781,1.5025
413,28.4534,6.2601,1.1164
414,28.5223,6.3892,1.0773
415,28.5912,5.8059,0.6038
416,28.6601,6.0477,1.2194
417,28.729,6.3932,0.8015
418,28.7979,6.5833,1.1683
419,28.8668,6.34,1.2791
420,28.9357,5.2849,0.8471
421,29.0046,3.7408,0.8328
422,29.0735,5.4154,1.1425
423,29.1424,7.4263,1.8629
424,29.2113,10.0151,1.7018
425,29.2802,11.2398,3.0228
426,29.3491,13.3014,2.8224
427,29.4179,15.6984,3.0445
428,29.4868,17.4546,3.8859
429,29.5557,17.5893,3.4392
430,29.6246,20.9528,3.2276
431,29.6935,21.2026,3.1132
432,29.7624,19.2002,3.2021
433,29.8313,15.3641,2.4459
434,29.9002,11.4642,1.8801
435,29.9691,12.1012,1.8247
436,30.038,10.5643,1.4336
437,30.1069,10.6642,1.276
438,30.1758,11.8238,1.3685
439,30.2447,10.6949,1.7082
440,30.3136,10.9752,1.3773
441,30.3825,11.3437,0.9644
442,30.4514,11.0853,1.4069
443,30.5203,10.1662,1.3909
444,30.5892,9.0963,1.2431
445,30.6581,8.2079,1.2041
446,30.7269,6.6125,0.5784
447,30.7958,5.8473,0.7782
448,30.8647,8.1327,0.5624
449,30.9336,6.8651,1.3009
450,31.0025,6.6919,1.1995
451,31.0714,7.5451,2.3868
452,31.1403,6.8931,2.3886
453,31.2092,6.6159,2.6168
454,31.2781,5.5493,2.5249
455,31.347,4.4724,2.5883
456,31.4159,3.6249,2.4084
457,31.4848,5.2724,2.0533
458,31.5537,3.9365,2.1563
459,31.6226,3.5581,1.5581
460,31.6915,3.7671,2.1789
461,31.7604,4.7102,1.3119
462,31.8293,4.4124,1.6669
463,31.8982,4.5749,2.5826
464,31.967,5.0867,2.6238
465,32.0359,4.3894,2.3268
466,32.1048,3.0586,2.5766
467,32.1737,3.2824,2.393
468,32.2426,3.9686,2.9879
469,32.3115,4.3359,3.6027
470,32.3804,5.3163,3.4587
471,32.4493,6.7768,3.7452
